Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
db/builder.cc                            28                 2    92.86%           1                 0   100.00%          51                 4    92.16%          22                 8    63.64%
db/c.cc                                 131                65    50.38%          86                44    48.84%         339               179    47.20%          30                15    50.00%
db/db_impl.cc                           656               222    66.16%          52                13    75.00%        1184               410    65.37%         468               231    50.64%
db/db_impl.h                              6                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
db/db_iter.cc                           118               118     0.00%          18                18     0.00%         198               198     0.00%          68                68     0.00%
db/dbformat.cc                           41                11    73.17%          12                 3    75.00%          95                21    77.89%          24                 8    66.67%
db/dbformat.h                            31                 1    96.77%          19                 1    94.74%          46                 4    91.30%           4                 0   100.00%
db/dumpfile.cc                           56                56     0.00%          11                11     0.00%         169               169     0.00%          38                38     0.00%
db/filename.cc                           58                 1    98.28%          12                 0   100.00%          95                 2    97.89%          32                 2    93.75%
db/log_reader.cc                        109                60    44.95%           9                 4    55.56%         189               115    39.15%          74                50    32.43%
db/log_writer.cc                         44                 1    97.73%           6                 0   100.00%          69                 2    97.10%          24                 2    91.67%
db/memtable.cc                           32                 4    87.50%          20                 4    80.00%          78                10    87.18%          10                 2    80.00%
db/memtable.h                             7                 0   100.00%           3                 0   100.00%           9                 0   100.00%           2                 0   100.00%
db/repair.cc                            148                73    50.68%          14                 4    71.43%         323               149    53.87%         100                60    40.00%
db/skiplist.h                            89                28    68.54%          23                 4    82.61%         149                46    69.13%          36                15    58.33%
db/snapshot.h                            14                 0   100.00%           8                 0   100.00%          35                 0   100.00%           0                 0         -
db/table_cache.cc                        34                 6    82.35%           8                 0   100.00%          80                 9    88.75%          18                 7    61.11%
db/version_edit.cc                      104                 1    99.04%           6                 0   100.00%         210                 2    99.05%          94                 8    91.49%
db/version_edit.h                        14                 0   100.00%          11                 0   100.00%          37                 0   100.00%           0                 0         -
db/version_set.cc                       628               201    67.99%          76                22    71.05%        1172               364    68.94%         422               189    55.21%
db/version_set.h                         29                 5    82.76%          16                 3    81.25%          33                 7    78.79%           6                 3    50.00%
db/write_batch.cc                        42                 5    88.10%          18                 0   100.00%          95                 8    91.58%          18                 6    66.67%
db/write_batch_internal.h                 2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
helpers/memenv/memenv.cc                112               112     0.00%          41                41     0.00%         239               239     0.00%          56                56     0.00%
include/leveldb/cache.h                   2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
include/leveldb/db.h                      2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
include/leveldb/env.h                    26                17    34.62%          25                17    32.00%          59                47    20.34%           0                 0         -
include/leveldb/iterator.h                3                 0   100.00%           2                 0   100.00%           5                 0   100.00%           0                 0         -
include/leveldb/options.h                 1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/leveldb/slice.h                  39                 0   100.00%          15                 0   100.00%          40                 0   100.00%          16                 0   100.00%
include/leveldb/status.h                 28                 0   100.00%          15                 0   100.00%          38                 0   100.00%           8                 0   100.00%
include/leveldb/table.h                   2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/leveldb/table_builder.h           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
port/port_stdcxx.h                       18                 1    94.44%          17                 1    94.12%          69                 6    91.30%           0                 0         -
table/block.cc                          126                46    63.49%          21                 3    85.71%         191                58    69.63%          68                41    39.71%
table/block.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
table/block_builder.cc                   24                 0   100.00%           5                 0   100.00%          52                 0   100.00%           8                 0   100.00%
table/block_builder.h                     1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
table/filter_block.cc                    43                20    53.49%           7                 3    57.14%          68                40    41.18%          22                14    36.36%
table/format.cc                          54                21    61.11%           5                 0   100.00%         126                57    54.76%          38                20    47.37%
table/format.h                           12                 0   100.00%          10                 0   100.00%          10                 0   100.00%           0                 0         -
table/iterator.cc                        27                11    59.26%          16                 9    43.75%          50                17    66.00%           6                 0   100.00%
table/iterator_wrapper.h                 31                 6    80.65%          15                 3    80.00%          57                15    73.68%           4                 0   100.00%
table/merger.cc                          88                45    48.86%          14                 5    64.29%         125                67    46.40%          52                33    36.54%
table/table.cc                           91                41    54.95%          12                 3    75.00%         193                68    64.77%          68                47    30.88%
table/table_builder.cc                   97                24    75.26%          13                 3    76.92%         181                47    74.03%          60                30    50.00%
table/two_level_iterator.cc              72                27    62.50%          17                 5    70.59%          98                34    65.31%          44                25    43.18%
util/arena.cc                            24                 1    95.83%           5                 0   100.00%          43                 0   100.00%           8                 0   100.00%
util/arena.h                              6                 0   100.00%           2                 0   100.00%          13                 0   100.00%           2                 0   100.00%
util/bloom.cc                            32                32     0.00%           6                 6     0.00%          49                49     0.00%          18                18     0.00%
util/cache.cc                           115                21    81.74%          36                 2    94.44%         230                38    83.48%          56                20    64.29%
util/coding.cc                           58                 0   100.00%          13                 0   100.00%         130                 0   100.00%          32                 0   100.00%
util/coding.h                            10                 0   100.00%           5                 0   100.00%          46                 0   100.00%           4                 0   100.00%
util/comparator.cc                       23                 3    86.96%           7                 0   100.00%          39                 4    89.74%          14                 6    57.14%
util/crc32c.cc                           67                 1    98.51%           4                 0   100.00%          89                 2    97.75%          22                 1    95.45%
util/crc32c.h                             3                 0   100.00%           3                 0   100.00%           8                 0   100.00%           0                 0         -
util/env.cc                              41                10    75.61%          18                 6    66.67%          72                18    75.00%          18                 8    55.56%
util/env_posix.cc                       266                91    65.79%          65                11    83.08%         510               169    66.86%         120                63    47.50%
util/filter_policy.cc                     1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
util/hash.cc                             13                 0   100.00%           1                 0   100.00%          27                 0   100.00%          10                 0   100.00%
util/logging.cc                          29                 0   100.00%           5                 0   100.00%          50                 0   100.00%          18                 1    94.44%
util/mutexlock.h                          3                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
util/no_destructor.h                      2                 0   100.00%           2                 0   100.00%          16                 0   100.00%           0                 0         -
util/options.cc                           3                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
util/posix_logger.h                      29                10    65.52%           3                 0   100.00%          62                11    82.26%          16                 8    50.00%
util/random.h                            11                 0   100.00%           4                 0   100.00%          17                 0   100.00%           6                 0   100.00%
util/status.cc                           20                 2    90.00%           3                 0   100.00%          61                 8    86.89%          20                 2    90.00%
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                  4078              1405    65.55%         879               252    71.33%        7745              2696    65.19%        2304              1105    52.04%
