Filename                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchmark/catch_chronometer.cpp                            1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
benchmark/catch_chronometer.hpp                            9                 9     0.00%           5                 5     0.00%          13                13     0.00%           2                 2     0.00%
benchmark/catch_optimizer.hpp                              6                 5    16.67%           3                 2    33.33%           7                 6    14.29%           0                 0         -
benchmark/catch_outlier_classification.hpp                 1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
benchmark/detail/catch_analyse.cpp                        14                 7    50.00%           2                 1    50.00%          64                40    37.50%           8                 5    37.50%
benchmark/detail/catch_benchmark_function.cpp              4                 1    75.00%           3                 1    66.67%           3                 1    66.67%           0                 0         -
benchmark/detail/catch_benchmark_function.hpp              7                 3    57.14%           5                 3    40.00%           9                 7    22.22%           0                 0         -
benchmark/detail/catch_run_for_at_least.cpp                2                 2     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
benchmark/detail/catch_stats.cpp                          67                 1    98.51%          20                 0   100.00%         298                 2    99.33%          34                 2    94.12%
catch_approx.cpp                                          36                 3    91.67%          11                 2    81.82%          46                 6    86.96%          16                 2    87.50%
catch_approx.hpp                                           2                 0   100.00%           1                 0   100.00%           2                 0   100.00%           0                 0         -
catch_assertion_result.cpp                                38                31    18.42%          15                13    13.33%          71                63    11.27%          20                17    15.00%
catch_config.cpp                                         106                39    63.21%          41                 6    85.37%         163                76    53.37%          58                32    44.83%
catch_get_random_seed.cpp                                  1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
catch_message.cpp                                         62                47    24.19%           8                 4    50.00%          97                62    36.08%          48                43    10.42%
catch_message.hpp                                          1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
catch_registry_hub.cpp                                    22                17    22.73%          17                12    29.41%          51                38    25.49%           0                 0         -
catch_section_info.hpp                                     4                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
catch_session.cpp                                        126               126     0.00%          18                18     0.00%         231               231     0.00%          80                80     0.00%
catch_session.hpp                                          6                 6     0.00%           1                 1     0.00%           8                 8     0.00%           4                 4     0.00%
catch_tag_alias.hpp                                        3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
catch_tag_alias_autoregistrar.cpp                          4                 4     0.00%           1                 1     0.00%           7                 7     0.00%           0                 0         -
catch_test_case_info.cpp                                 118                16    86.44%          22                 4    81.82%         181                25    86.19%          64                15    76.56%
catch_test_case_info.hpp                                   9                 3    66.67%           6                 3    50.00%          15                 9    40.00%           0                 0         -
catch_test_spec.cpp                                       46                27    41.30%          18                10    44.44%          97                58    40.21%          28                18    35.71%
catch_test_spec.hpp                                        3                 2    33.33%           3                 2    33.33%          12                 8    33.33%           0                 0         -
catch_timer.cpp                                            6                 0   100.00%           6                 0   100.00%          18                 0   100.00%           0                 0         -
catch_tostring.cpp                                        89                27    69.66%          25                10    60.00%         175                51    70.86%          56                15    73.21%
catch_tostring.hpp                                         9                 8    11.11%           9                 8    11.11%          18                15    16.67%           0                 0         -
catch_totals.cpp                                          21                 0   100.00%           8                 0   100.00%          47                 0   100.00%          12                 0   100.00%
catch_translate_exception.cpp                              2                 2     0.00%           1                 1     0.00%           4                 4     0.00%           0                 0         -
catch_version.cpp                                         10                 3    70.00%           3                 1    66.67%          20                10    50.00%           2                 2     0.00%
generators/catch_generator_exception.cpp                   1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
generators/catch_generator_exception.hpp                   2                 0   100.00%           1                 0   100.00%           2                 0   100.00%           0                 0         -
generators/catch_generators.cpp                            6                 4    33.33%           5                 3    40.00%          12                 8    33.33%           0                 0         -
generators/catch_generators.hpp                            1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
generators/catch_generators_random.cpp                     8                 0   100.00%           5                 0   100.00%          10                 0   100.00%           0                 0         -
generators/catch_generators_random.hpp                     1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
interfaces/catch_interfaces_capture.cpp                    1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
interfaces/catch_interfaces_config.cpp                     1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
interfaces/catch_interfaces_exception.cpp                  2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
interfaces/catch_interfaces_generatortracker.cpp           6                 3    50.00%           2                 1    50.00%          14                 6    57.14%           4                 2    50.00%
interfaces/catch_interfaces_generatortracker.hpp           2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
interfaces/catch_interfaces_registry_hub.cpp               2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
interfaces/catch_interfaces_reporter.cpp                  40                15    62.50%          11                 4    63.64%          40                21    47.50%           2                 2     0.00%
interfaces/catch_interfaces_reporter.hpp                   4                 2    50.00%           3                 2    33.33%           5                 4    20.00%           0                 0         -
interfaces/catch_interfaces_reporter_factory.cpp           2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
interfaces/catch_interfaces_testcase.cpp                   1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
internal/catch_assertion_handler.cpp                      21                16    23.81%          11                 8    27.27%          44                33    25.00%           6                 6     0.00%
internal/catch_case_insensitive_comparisons.cpp            4                 0   100.00%           4                 0   100.00%          14                 0   100.00%           0                 0         -
internal/catch_clara.cpp                                 239               168    29.71%          37                21    43.24%         354               251    29.10%         154               106    31.17%
internal/catch_clara.hpp                                 136                90    33.82%          72                45    37.50%         210               139    33.81%          20                16    20.00%
internal/catch_commandline.cpp                           112               112     0.00%          14                14     0.00%         424               424     0.00%          68                68     0.00%
internal/catch_console_colour.cpp                         67                55    17.91%          17                12    29.41%         102                79    22.55%          52                43    17.31%
internal/catch_console_colour.hpp                          4                 2    50.00%           3                 2    33.33%           9                 8    11.11%           0                 0         -
internal/catch_context.cpp                                 6                 2    66.67%           4                 1    75.00%          15                 4    73.33%           2                 1    50.00%
internal/catch_context.hpp                                 7                 1    85.71%           5                 1    80.00%          12                 3    75.00%           2                 0   100.00%
internal/catch_debug_console.cpp                           1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
internal/catch_debugger.cpp                                8                 1    87.50%           1                 0   100.00%          11                 1    90.91%           8                 3    62.50%
internal/catch_debugger.hpp                                4                 4     0.00%           1                 1     0.00%           1                 1     0.00%           2                 2     0.00%
internal/catch_decomposer.cpp                              9                 0   100.00%           2                 0   100.00%          11                 0   100.00%           6                 0   100.00%
internal/catch_decomposer.hpp                              6                 2    66.67%           4                 2    50.00%           9                 5    44.44%           0                 0         -
internal/catch_enforce.cpp                                 3                 1    66.67%           3                 1    66.67%           9                 3    66.67%           0                 0         -
internal/catch_enforce.hpp                                 1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
internal/catch_enum_values_registry.cpp                   18                 9    50.00%           7                 3    57.14%          40                22    45.00%          12                 6    50.00%
internal/catch_errno_guard.cpp                             2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
internal/catch_exception_translator_registry.cpp          18                18     0.00%           4                 4     0.00%          38                38     0.00%           4                 4     0.00%
internal/catch_fatal_condition_handler.cpp                19                 5    73.68%           7                 2    71.43%          48                15    68.75%          10                 4    60.00%
internal/catch_fatal_condition_handler.hpp                 7                 0   100.00%           4                 0   100.00%          16                 0   100.00%           0                 0         -
internal/catch_floating_point_helpers.cpp                  4                 0   100.00%           4                 0   100.00%          14                 0   100.00%           0                 0         -
internal/catch_floating_point_helpers.hpp                 16                 0   100.00%           1                 0   100.00%          22                 0   100.00%          10                 0   100.00%
internal/catch_getenv.cpp                                  1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
internal/catch_istream.cpp                                55                54     1.82%          17                16     5.88%          64                63     1.56%          22                22     0.00%
internal/catch_istream.hpp                                 1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
internal/catch_jsonwriter.cpp                             78                 8    89.74%          21                 1    95.24%          99                10    89.90%          30                 7    76.67%
internal/catch_jsonwriter.hpp                              4                 1    75.00%           4                 1    75.00%          16                 3    81.25%           0                 0         -
internal/catch_lazy_expr.cpp                              11                 6    45.45%           1                 0   100.00%          13                 4    69.23%           8                 5    37.50%
internal/catch_lazy_expr.hpp                               3                 0   100.00%           2                 0   100.00%           5                 0   100.00%           0                 0         -
internal/catch_leak_detector.cpp                           2                 2     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
internal/catch_list.cpp                                   25                21    16.00%           7                 5    28.57%          79                62    21.52%          24                20    16.67%
internal/catch_main.cpp                                    1                 1     0.00%           1                 1     0.00%           5                 5     0.00%           0                 0         -
internal/catch_message_info.cpp                            5                 0   100.00%           1                 0   100.00%           5                 0   100.00%           0                 0         -
internal/catch_message_info.hpp                            1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
internal/catch_optional.hpp                               60                10    83.33%          19                 3    84.21%          62                12    80.65%          24                 6    75.00%
internal/catch_output_redirect.cpp                        57                57     0.00%          23                23     0.00%          88                88     0.00%          18                18     0.00%
internal/catch_output_redirect.hpp                         3                 3     0.00%           3                 3     0.00%          11                11     0.00%           0                 0         -
internal/catch_parse_numbers.cpp                          17                17     0.00%           1                 1     0.00%          22                22     0.00%           8                 8     0.00%
internal/catch_polyfills.cpp                               4                 0   100.00%           4                 0   100.00%           8                 0   100.00%           0                 0         -
internal/catch_random_integer_helpers.hpp                  6                 0   100.00%           4                 0   100.00%          42                 0   100.00%           2                 0   100.00%
internal/catch_random_number_generator.cpp                10                 0   100.00%           7                 0   100.00%          31                 0   100.00%           2                 0   100.00%
internal/catch_random_number_generator.hpp                 4                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
internal/catch_random_seed_generation.cpp                  7                 0   100.00%           1                 0   100.00%          13                 0   100.00%           8                 0   100.00%
internal/catch_reporter_registry.cpp                      26                 7    73.08%           7                 2    71.43%          44                 8    81.82%           6                 2    66.67%
internal/catch_reporter_spec_parser.cpp                   88                 3    96.59%           7                 0   100.00%         126                 3    97.62%          54                 3    94.44%
internal/catch_reporter_spec_parser.hpp                    4                 0   100.00%           4                 0   100.00%           8                 0   100.00%           0                 0         -
internal/catch_result_type.hpp                             4                 2    50.00%           4                 2    50.00%          13                 7    46.15%           0                 0         -
internal/catch_reusable_string_stream.cpp                 11                 0   100.00%           6                 0   100.00%          29                 0   100.00%           2                 0   100.00%
internal/catch_reusable_string_stream.hpp                  2                 0   100.00%           2                 0   100.00%           5                 0   100.00%           0                 0         -
internal/catch_run_context.cpp                           209               202     3.35%          49                45     8.16%         500               486     2.80%          88                87     1.14%
internal/catch_section.cpp                                21                21     0.00%           4                 4     0.00%          27                27     0.00%           8                 8     0.00%
internal/catch_sharding.hpp                                5                 5     0.00%           1                 1     0.00%          14                14     0.00%           2                 2     0.00%
internal/catch_singletons.cpp                              7                 0   100.00%           4                 0   100.00%          17                 0   100.00%           4                 0   100.00%
