Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
controllers/global_mapper.cc                     78                78     0.00%           1                 1     0.00%         247               247     0.00%          56                56     0.00%
controllers/global_mapper.h                       1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/option_manager.cc                    67                 2    97.01%          20                 0   100.00%         288                 7    97.57%          30                 1    96.67%
controllers/option_manager.h                     15                 4    73.33%           3                 0   100.00%          27                 5    81.48%           0                 0         -
controllers/rotation_averager.cc                 66                66     0.00%           1                 1     0.00%         145               145     0.00%          70                70     0.00%
controllers/rotation_averager.h                   2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/track_establishment.cc               76                73     3.95%           4                 1    75.00%         151               126    16.56%          68                65     4.41%
controllers/track_establishment.h                 4                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
controllers/track_retriangulation.cc             18                18     0.00%           1                 1     0.00%          88                88     0.00%          18                18     0.00%
estimators/bundle_adjustment.cc                  99                60    39.39%           5                 0   100.00%         199               127    36.18%          94                63    32.98%
estimators/bundle_adjustment.h                    6                 1    83.33%           4                 1    75.00%           9                 1    88.89%           0                 0         -
estimators/cost_function.h                       41                 5    87.80%          20                 3    85.00%         186                38    79.57%          10                 0   100.00%
estimators/global_positioning.cc                193               165    14.51%          12                 9    25.00%         373               328    12.06%         174               156    10.34%
estimators/global_positioning.h                   3                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
estimators/global_rotation_averaging.cc         334               330     1.20%          10                 9    10.00%         587               576     1.87%         282               280     0.71%
estimators/global_rotation_averaging.h            2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
estimators/gravity_refinement.cc                 57                45    21.05%           2                 0   100.00%         132                98    25.76%          54                43    20.37%
estimators/gravity_refinement.h                   3                 0   100.00%           2                 0   100.00%           5                 0   100.00%           0                 0         -
estimators/optimization_base.h                    1                 0   100.00%           1                 0   100.00%           6                 0   100.00%           0                 0         -
estimators/relpose_estimation.cc                 28                20    28.57%           2                 1    50.00%         159               137    13.84%          20                14    30.00%
estimators/relpose_estimation.h                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
estimators/rotation_initializer.cc               53                47    11.32%           1                 0   100.00%          88                64    27.27%          46                35    23.91%
estimators/view_graph_calibration.cc             55                55     0.00%           7                 7     0.00%         118               118     0.00%          42                42     0.00%
estimators/view_graph_calibration.h               5                 2    60.00%           3                 1    66.67%           7                 1    85.71%           0                 0         -
io/colmap_converter.cc                          167               162     2.99%           7                 6    14.29%         326               309     5.21%         168               158     5.95%
io/colmap_io.cc                                  33                12    63.64%           2                 1    50.00%          57                20    64.91%          24                 9    62.50%
io/pose_io.cc                                    66                31    53.03%           5                 2    60.00%         166                86    48.19%          60                29    51.67%
math/gravity.cc                                  28                 2    92.86%           5                 1    80.00%          65                 7    89.23%          18                 2    88.89%
math/rigid3d.cc                                  13                 2    84.62%          10                 2    80.00%          51                 4    92.16%           2                 0   100.00%
math/tree.cc                                     43                31    27.91%           2                 1    50.00%          91                57    37.36%          36                26    27.78%
math/two_view_geometry.cc                        13                 1    92.31%           7                 1    85.71%          52                 5    90.38%          10                 2    80.00%
processors/image_pair_inliers.cc                 88                22    75.00%           5                 0   100.00%         154                32    79.22%          68                23    66.18%
processors/image_pair_inliers.h                   5                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
processors/image_undistorter.cc                  19                 1    94.74%           2                 0   100.00%          43                 1    97.67%          14                 1    92.86%
processors/reconstruction_normalizer.cc          27                27     0.00%           1                 1     0.00%          58                58     0.00%          26                26     0.00%
processors/reconstruction_pruning.cc             41                11    73.17%           1                 0   100.00%          94                15    84.04%          40                13    67.50%
processors/relpose_filter.cc                     26                 2    92.31%           3                 0   100.00%          44                 3    93.18%          22                 4    81.82%
processors/track_filter.cc                       39                15    61.54%           3                 0   100.00%          95                23    75.79%          36                13    63.89%
processors/view_graph_manipulation.cc           144               135     6.25%           5                 3    40.00%         245               211    13.88%         136               126     7.35%
scene/camera.h                                    9                 2    77.78%           7                 2    71.43%          21                 8    61.90%           0                 0         -
scene/frame.h                                     7                 2    71.43%           6                 2    66.67%          10                 2    80.00%           0                 0         -
scene/image.h                                    20                 3    85.00%          10                 3    70.00%          43                24    44.19%           6                 0   100.00%
scene/image_pair.h                                9                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
scene/view_graph.cc                              50                10    80.00%           6                 0   100.00%         107                 8    92.52%          50                11    78.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                          2055              1445    29.68%         196                62    68.37%        4559              2981    34.61%        1680              1286    23.45%
