Filename                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
browse.cc                                   23                23     0.00%           1                 1     0.00%          47                47     0.00%          14                14     0.00%
build.cc                                   551               547     0.73%          37                36     2.70%         718               714     0.56%         392               392     0.00%
build.h                                     11                 7    36.36%           9                 6    33.33%          13                10    23.08%           4                 3    25.00%
build_log.cc                               183               132    27.87%          16                 5    68.75%         293               225    23.21%         116               100    13.79%
build_log.h                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
clean.cc                                   134               127     5.22%          21                20     4.76%         229               222     3.06%          82                82     0.00%
clean.h                                      6                 1    83.33%           2                 1    50.00%           7                 3    57.14%           6                 0   100.00%
clparser.cc                                 53                53     0.00%           5                 5     0.00%          64                64     0.00%          50                50     0.00%
command_collector.h                         13                13     0.00%           1                 1     0.00%          12                12     0.00%          12                12     0.00%
depfile_parser.cc                          220               220     0.00%           2                 2     0.00%         296               296     0.00%         142               142     0.00%
depfile_parser.h                             1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
deps_log.cc                                257               159    38.13%          13                 3    76.92%         317               208    34.38%         184               138    25.00%
deps_log.h                                   8                 0   100.00%           4                 0   100.00%           4                 0   100.00%           0                 0         -
disk_interface.cc                           66                66     0.00%          10                10     0.00%         104               104     0.00%          46                46     0.00%
disk_interface.h                             2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
dyndep.cc                                   29                29     0.00%           4                 4     0.00%          63                63     0.00%          22                22     0.00%
dyndep.h                                     7                 3    57.14%           2                 1    50.00%           3                 1    66.67%           0                 0         -
dyndep_parser.cc                           128               128     0.00%           5                 5     0.00%         163               163     0.00%          92                92     0.00%
dyndep_parser.h                              1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
edit_distance.cc                            24                 0   100.00%           1                 0   100.00%          30                 0   100.00%          16                 0   100.00%
elide_middle.cc                             81                81     0.00%          17                17     0.00%         109               109     0.00%          48                48     0.00%
eval_env.cc                                106                28    73.58%          17                 3    82.35%         134                35    73.88%          74                31    58.11%
eval_env.h                                  12                 2    83.33%           8                 1    87.50%           8                 1    87.50%           4                 0   100.00%
explanations.h                              11                 0   100.00%           4                 0   100.00%          21                 0   100.00%           6                 0   100.00%
graph.cc                                   364               334     8.24%          34                24    29.41%         505               458     9.31%         282               271     3.90%
graph.h                                     61                 4    93.44%          41                 1    97.56%          88                 5    94.32%           8                 2    75.00%
graphviz.cc                                 34                34     0.00%           3                 3     0.00%          52                52     0.00%          24                24     0.00%
graphviz.h                                   2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
hash_map.h                                   1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
jobserver-posix.cc                          50                50     0.00%           6                 6     0.00%          76                76     0.00%          36                36     0.00%
jobserver.cc                                64                62     3.12%           5                 4    20.00%          84                80     4.76%          44                44     0.00%
jobserver.h                                 20                 4    80.00%          14                 4    71.43%          22                 4    81.82%           6                 0   100.00%
json.cc                                     31                 0   100.00%           2                 0   100.00%          33                 0   100.00%          20                 0   100.00%
lexer.cc                                   491               252    48.68%          12                 1    91.67%         777               286    63.19%         298               163    45.30%
lexer.h                                      3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
line_printer.cc                             51                10    80.39%           5                 0   100.00%          70                15    78.57%          46                17    63.04%
line_printer.h                               3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
manifest_parser.cc                         260               155    40.38%           8                 3    62.50%         334               206    38.32%         180               115    36.11%
metrics.cc                                  22                10    54.55%          10                 2    80.00%          65                32    50.77%           8                 6    25.00%
missing_deps.cc                             80                74     7.50%           9                 8    11.11%         124               122     1.61%          48                48     0.00%
missing_deps.h                               1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
ninja.cc                                   741               741     0.00%          48                48     0.00%        1316              1316     0.00%         592               592     0.00%
parser.cc                                   15                11    26.67%           2                 1    50.00%          23                13    43.48%          10                 8    20.00%
parser.h                                     4                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
real_command_runner.cc                      36                36     0.00%           8                 8     0.00%          67                67     0.00%          24                24     0.00%
state.cc                                    96                79    17.71%          20                12    40.00%         168               119    29.17%          56                52     7.14%
state.h                                     17                10    41.18%           4                 1    75.00%          12                 9    25.00%           6                 6     0.00%
status.h                                     1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
status_printer.cc                          154               154     0.00%          14                14     0.00%         293               293     0.00%         146               146     0.00%
status_printer.h                            18                18     0.00%           5                 5     0.00%          21                21     0.00%           8                 8     0.00%
string_piece.h                              22                 0   100.00%          10                 0   100.00%          22                 0   100.00%           6                 0   100.00%
string_piece_util.cc                        27                 0   100.00%           3                 0   100.00%          46                 0   100.00%          16                 0   100.00%
string_piece_util.h                          6                 0   100.00%           1                 0   100.00%           3                 0   100.00%           4                 0   100.00%
subprocess-posix.cc                        177               176     0.56%          19                18     5.26%         273               270     1.10%         130               130     0.00%
subprocess.h                                 1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
third_party/emhash/hash_table8.hpp         249               166    33.33%          56                26    53.57%         393               241    38.68%         120                93    22.50%
third_party/rapidhash/rapidhash.h           28                 1    96.43%           8                 0   100.00%          59                 1    98.31%          16                 3    81.25%
util.cc                                    365               101    72.33%          37                 4    89.19%         556               130    76.62%         272                98    63.97%
version.cc                                  13                13     0.00%           2                 2     0.00%          28                28     0.00%          10                10     0.00%

Files which contain no functions:
metrics.h                                    0                 0         -           0                 0         -           0                 0         -           0                 0         -
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                     5436              4120    24.21%         583               321    44.94%        8171              6128    25.00%        3726              3068    17.66%
