Filename                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
include/yaml-cpp/binary.h                              9                 0   100.00%           3                 0   100.00%           5                 0   100.00%           4                 0   100.00%
include/yaml-cpp/contrib/anchordict.h                  6                 6     0.00%           3                 3     0.00%           8                 8     0.00%           2                 2     0.00%
include/yaml-cpp/contrib/graphbuilder.h                3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
include/yaml-cpp/depthguard.h                          6                 1    83.33%           3                 0   100.00%          10                 2    80.00%           2                 1    50.00%
include/yaml-cpp/emitfromevents.h                      1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/emitter.h                             7                 1    85.71%           7                 1    85.71%          54                36    33.33%           0                 0         -
include/yaml-cpp/emittermanip.h                       15                 3    80.00%          10                 3    70.00%          18                 7    61.11%           0                 0         -
include/yaml-cpp/eventhandler.h                        2                 1    50.00%           2                 1    50.00%           3                 2    33.33%           0                 0         -
include/yaml-cpp/exceptions.h                         28                 8    71.43%          14                 7    50.00%          33                 9    72.73%           4                 0   100.00%
include/yaml-cpp/mark.h                               14                 0   100.00%           4                 0   100.00%           4                 0   100.00%           6                 0   100.00%
include/yaml-cpp/node/convert.h                       12                12     0.00%          12                12     0.00%          86                86     0.00%           0                 0         -
include/yaml-cpp/node/detail/memory.h                  5                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
include/yaml-cpp/node/detail/node.h                   33                 0   100.00%          21                 0   100.00%          61                 0   100.00%           8                 0   100.00%
include/yaml-cpp/node/detail/node_data.h               8                 0   100.00%           5                 0   100.00%           7                 0   100.00%           2                 0   100.00%
include/yaml-cpp/node/detail/node_iterator.h          52                 8    84.62%          13                 1    92.31%          64                 8    87.50%          34                 7    79.41%
include/yaml-cpp/node/detail/node_ref.h               18                 0   100.00%          17                 0   100.00%          25                 0   100.00%           0                 0         -
include/yaml-cpp/node/impl.h                          29                 4    86.21%           9                 3    66.67%          34                21    38.24%           8                 1    87.50%
include/yaml-cpp/node/node.h                           2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
include/yaml-cpp/noexcept.h                            1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/ostream_wrapper.h                    11                 0   100.00%           8                 0   100.00%          24                 0   100.00%           2                 0   100.00%
include/yaml-cpp/traits.h                              1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
src/binary.cpp                                        30                 0   100.00%           2                 0   100.00%          59                 0   100.00%          26                 2    92.31%
src/collectionstack.h                                  9                 0   100.00%           4                 0   100.00%          14                 0   100.00%           2                 0   100.00%
src/contrib/dragonbox.h                              244                71    70.90%          83                14    83.13%         864               394    54.40%          56                25    55.36%
src/contrib/graphbuilder.cpp                           4                 4     0.00%           1                 1     0.00%           7                 7     0.00%           2                 2     0.00%
src/contrib/graphbuilderadapter.cpp                   24                24     0.00%          10                10     0.00%          66                66     0.00%          10                10     0.00%
src/contrib/graphbuilderadapter.h                     12                12     0.00%           7                 7     0.00%          11                11     0.00%           0                 0         -
src/convert.cpp                                       38                 0   100.00%           8                 0   100.00%          46                 0   100.00%          30                 2    93.33%
src/depthguard.cpp                                     3                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
src/directives.cpp                                    10                 0   100.00%           2                 0   100.00%          10                 0   100.00%           4                 0   100.00%
src/emit.cpp                                           3                 0   100.00%           3                 0   100.00%          16                 0   100.00%           0                 0         -
src/emitfromevents.cpp                                42                 7    83.33%          13                 2    84.62%          93                16    82.80%          30                 4    86.67%
src/emitter.cpp                                      517               183    64.60%          64                 5    92.19%         785               239    69.55%         542               236    56.46%
src/emitterstate.cpp                                 194                17    91.24%          40                 0   100.00%         306                26    91.50%         130                18    86.15%
src/emitterstate.h                                    51                 3    94.12%          25                 0   100.00%          62                 5    91.94%          22                 1    95.45%
src/emitterutils.cpp                                 304                64    78.95%          24                 3    87.50%         414               103    75.12%         258                80    68.99%
src/exp.cpp                                           69                11    84.06%           4                 0   100.00%          90                22    75.56%          78                12    84.62%
