Filename                                              Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
build/glib/poppler-enums.c                                116               116     0.00%          58                58     0.00%        1115              1115     0.00%           0                 0         -
fofi/FoFiBase.cc                                          102               102     0.00%          13                13     0.00%         132               132     0.00%          74                74     0.00%
fofi/FoFiIdentifier.cc                                    315               315     0.00%          27                27     0.00%         301               301     0.00%         228               228     0.00%
fofi/FoFiTrueType.cc                                      715               715     0.00%          37                37     0.00%        1252              1252     0.00%         532               532     0.00%
fofi/FoFiTrueType.h                                         1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
fofi/FoFiType1.cc                                         214               214     0.00%          11                11     0.00%         224               224     0.00%         170               170     0.00%
fofi/FoFiType1C.cc                                       1317              1317     0.00%          33                33     0.00%        2323              2323     0.00%        1144              1144     0.00%
glib/poppler-action.cc                                    255               255     0.00%          22                22     0.00%         511               511     0.00%         252               252     0.00%
glib/poppler-annot.cc                                     656               655     0.15%         137               136     0.73%        1233              1230     0.24%         360               360     0.00%
glib/poppler-attachment.cc                                 86                86     0.00%          14                14     0.00%         168               168     0.00%          44                44     0.00%
glib/poppler-cached-file-loader.cc                         35                35     0.00%           4                 4     0.00%          66                66     0.00%          22                22     0.00%
glib/poppler-date.cc                                        4                 4     0.00%           1                 1     0.00%          10                10     0.00%           2                 2     0.00%
glib/poppler-document.cc                                  911               911     0.00%         137               137     0.00%        1773              1773     0.00%         624               624     0.00%
glib/poppler-form-field.cc                                386               386     0.00%         109               109     0.00%         844               844     0.00%         154               154     0.00%
glib/poppler-input-stream.cc                               13                13     0.00%           7                 7     0.00%          29                29     0.00%           4                 4     0.00%
glib/poppler-layer.cc                                      40                40     0.00%          10                10     0.00%          73                73     0.00%          16                16     0.00%
glib/poppler-media.cc                                      82                82     0.00%          14                14     0.00%         147               147     0.00%          38                38     0.00%
glib/poppler-movie.cc                                      50                50     0.00%          15                15     0.00%          99                99     0.00%          26                26     0.00%
glib/poppler-page.cc                                      488               488     0.00%          93                93     0.00%        1234              1234     0.00%         334               334     0.00%
glib/poppler-structure-element.cc                         437               437     0.00%          81                81     0.00%         707               707     0.00%         240               240     0.00%
glib/poppler.cc                                            13                13     0.00%           4                 4     0.00%          20                20     0.00%           8                 8     0.00%
goo/GooCheckedOps.h                                         6                 0   100.00%           6                 0   100.00%          25                 0   100.00%           0                 0         -
goo/GooString.cc                                          259               259     0.00%          10                10     0.00%         445               445     0.00%         296               296     0.00%
goo/GooString.h                                            31                27    12.90%          16                15     6.25%          16                15     6.25%           6                 5    16.67%
goo/GooTimer.cc                                             6                 6     0.00%           4                 4     0.00%          18                18     0.00%           2                 2     0.00%
goo/ImgWriter.cc                                            1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
