file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_10.cpp,41,4,4,13,8,10,0,10.25,1.0,3.25
test_58.cpp,63,5,12,46,19,14,0,12.6,2.4,9.2
test_42.cpp,78,12,14,59,11,15,0,6.5,1.1666666666666667,4.916666666666667
test_48.cpp,66,8,18,41,11,12,0,8.25,2.25,5.125
test_68.cpp,89,6,6,37,17,11,0,14.833333333333334,1.0,6.166666666666667
test_46.cpp,83,14,14,56,13,18,0,5.928571428571429,1.0,4.0
test_21.cpp,105,6,32,103,19,17,0,17.5,5.333333333333333,17.166666666666668
test_6.cpp,40,1,1,8,8,6,0,40.0,1.0,8.0
test_44.cpp,102,15,15,50,12,19,0,6.8,1.0,3.3333333333333335
test_15.cpp,107,9,21,62,29,21,0,11.88888888888889,2.3333333333333335,6.888888888888889
test_56.cpp,96,5,22,73,29,21,0,19.2,4.4,14.6
test_8.cpp,20,2,4,9,4,4,0,10.0,2.0,4.5
test_9.cpp,53,4,4,27,13,2,0,13.25,1.0,6.75
test_49.cpp,46,6,9,38,17,9,0,7.666666666666667,1.5,6.333333333333333
test_4.cpp,117,6,7,37,21,9,0,19.5,1.1666666666666667,6.166666666666667
test_31.cpp,98,8,33,66,16,7,0,12.25,4.125,8.25
