index,Category,%Error
,Lexical,2.50%
,Syntactic,0.00%
,Linker,15.00%
,Abstract-Type Instantiation,0.00%
,Access Control,0.00%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,0.00%
,Deleted/Special Member,0.00%
,Functions/Call Resolution,5.00%
,Operator/Call,30.00%
,Override/Inheritance,2.50%
,Incomplete Type,0.00%
,Symbol/Lookup,35.00%
,Templates/Generics,5.00%
,Type Conversion/Reference Binding,0.00%
,Type Redefinition/Redeclaration,0.00%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,5.00%
