index,Category,#Error
,Lexical,48
,Syntactic,43
,Linker,216
,Abstract-Type Instantiation,23
,Access Control,412
,Constexpr/Enum/Assert/Literal,3
,Construction/Initialization,36
,Deleted/Special Member,1
,Functions/Call Resolution,12
,Operator/Call,10
,Override/Inheritance,3
,Incomplete Type,188
,Symbol/Lookup,496
,Templates/Generics,40
,Type Conversion/Reference Binding,45
,Type Redefinition/Redeclaration,40
,Qualifier/Specifier Misuse,0
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,46
