index,Category,%Error
,Lexical,2.89%
,Syntactic,2.59%
,Linker,13.00%
,Abstract-Type Instantiation,1.38%
,Access Control,24.79%
,Constexpr/Enum/Assert/Literal,0.18%
,Construction/Initialization,2.17%
,Deleted/Special Member,0.06%
,Functions/Call Resolution,0.72%
,Operator/Call,0.60%
,Override/Inheritance,0.18%
,Incomplete Type,11.31%
,Symbol/Lookup,29.84%
,Templates/Generics,2.41%
,Type Conversion/Reference Binding,2.71%
,Type Redefinition/Redeclaration,2.41%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,2.77%
