Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
db/builder.cc                            36                 7    80.56%           1                 0   100.00%          51                 4    92.16%          24                 9    62.50%
db/c.cc                                 139                76    45.32%          86                50    41.86%         339               191    43.66%          32                16    50.00%
db/db_impl.cc                           858               466    45.69%          52                17    67.31%        1185               527    55.53%         522               317    39.27%
db/db_impl.h                              6                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
db/db_iter.cc                           190               190     0.00%          18                18     0.00%         198               198     0.00%          87                87     0.00%
db/dbformat.cc                           81                42    48.15%          12                 3    75.00%          95                21    77.89%          34                15    55.88%
db/dbformat.h                            48                14    70.83%          20                 3    85.00%          49                 8    83.67%           8                 3    62.50%
db/dumpfile.cc                           56                56     0.00%          11                11     0.00%         169               169     0.00%          38                38     0.00%
db/filename.cc                          106                31    70.75%          12                 0   100.00%          95                 2    97.89%          44                 8    81.82%
db/log_reader.cc                        109                60    44.95%           9                 4    55.56%         189               115    39.15%          76                50    34.21%
db/log_writer.cc                         76                21    72.37%           6                 0   100.00%          69                 2    97.10%          32                 6    81.25%
db/memtable.cc                           48                14    70.83%          20                 4    80.00%          78                10    87.18%          14                 4    71.43%
db/memtable.h                            15                 5    66.67%           3                 0   100.00%           9                 0   100.00%           4                 1    75.00%
db/repair.cc                            148                73    50.68%          14                 4    71.43%         323               149    53.87%         100                60    40.00%
db/skiplist.h                           181                91    49.72%          23                 4    82.61%         149                46    69.13%          69                35    49.28%
db/snapshot.h                            48                25    47.92%           8                 1    87.50%          35                 4    88.57%          12                 6    50.00%
db/table_cache.cc                        42                15    64.29%           8                 1    87.50%          80                14    82.50%          20                 9    55.00%
db/version_edit.cc                      104                 5    95.19%           6                 0   100.00%         210                 7    96.67%          94                11    88.30%
db/version_edit.h                        14                 2    85.71%          11                 2    81.82%          37                 6    83.78%           0                 0         -
db/version_set.cc                       862               519    39.79%          76                38    50.00%        1171               580    50.47%         480               297    38.12%
db/version_set.h                         37                14    62.16%          16                 7    56.25%          33                11    66.67%           8                 5    37.50%
db/write_batch.cc                        58                15    74.14%          18                 0   100.00%          95                 8    91.58%          22                 8    63.64%
db/write_batch_internal.h                 2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
helpers/memenv/memenv.cc                128               128     0.00%          41                41     0.00%         239               239     0.00%          60                60     0.00%
include/leveldb/cache.h                   2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
include/leveldb/db.h                      2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
include/leveldb/env.h                    26                18    30.77%          25                18    28.00%          59                50    15.25%           0                 0         -
include/leveldb/iterator.h               11                 5    54.55%           2                 0   100.00%           5                 0   100.00%           2                 1    50.00%
include/leveldb/options.h                 1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/leveldb/slice.h                  55                10    81.82%          15                 0   100.00%          40                 0   100.00%          20                 2    90.00%
include/leveldb/status.h                 28                 0   100.00%          15                 0   100.00%          38                 0   100.00%           8                 0   100.00%
include/leveldb/table.h                   2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/leveldb/table_builder.h           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
port/port_stdcxx.h                       26                11    57.69%          17                 6    64.71%         118                91    22.88%           2                 1    50.00%
table/block.cc                          192                97    49.48%          21                 5    76.19%         190                70    63.16%          89                55    38.20%
table/block.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
table/block_builder.cc                   66                25    62.12%           5                 0   100.00%          52                 0   100.00%          22                 6    72.73%
table/block_builder.h                     1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
table/filter_block.cc                    51                28    45.10%           7                 3    57.14%          68                40    41.18%          24                16    33.33%
table/format.cc                          78                36    53.85%           5                 0   100.00%         126                57    54.76%          44                23    47.73%
table/format.h                           12                 0   100.00%          10                 0   100.00%          10                 0   100.00%           0                 0         -
table/iterator.cc                        67                48    28.36%          16                 9    43.75%          50                17    66.00%          12                 5    58.33%
table/iterator_wrapper.h                 95                77    18.95%          15                 8    46.67%          57                36    36.84%          20                16    20.00%
table/merger.cc                         128               107    16.41%          14                11    21.43%         125               105    16.00%          62                55    11.29%
table/table.cc                           91                41    54.95%          12                 3    75.00%         193                68    64.77%          68                47    30.88%
table/table_builder.cc                  169                72    57.40%          13                 3    76.92%         181                47    74.03%          78                40    48.72%
table/two_level_iterator.cc             104                90    13.46%          17                13    23.53%          98                82    16.33%          52                49     5.77%
util/arena.cc                            32                 6    81.25%           5                 0   100.00%          43                 0   100.00%          11                 1    90.91%
util/arena.h                             14                 5    64.29%           2                 0   100.00%          13                 0   100.00%           4                 1    75.00%
util/bloom.cc                            32                32     0.00%           6                 6     0.00%          49                49     0.00%          18                18     0.00%
util/cache.cc                           211                94    55.45%          36                 2    94.44%         229                39    82.97%          80                38    52.50%
util/coding.cc                           58                 0   100.00%          13                 0   100.00%         130                 0   100.00%          32                 0   100.00%
util/coding.h                            10                 0   100.00%           5                 0   100.00%          46                 0   100.00%           4                 0   100.00%
util/comparator.cc                       31                11    64.52%           7                 0   100.00%          38                 3    92.11%          16                 8    50.00%
util/crc32c.cc                           92                 1    98.91%           4                 0   100.00%          89                 2    97.75%          34                 1    97.06%
util/crc32c.h                             3                 0   100.00%           3                 0   100.00%           8                 0   100.00%           0                 0         -
