file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_120.cpp,51,4,5,25,9,4,6,12.75,1.25,6.25
test_91.cpp,93,6,11,55,16,2,0,15.5,1.8333333333333333,9.166666666666666
test_270.cpp,70,2,4,27,18,3,0,35.0,2.0,13.5
test_272.cpp,37,3,6,20,9,3,0,12.333333333333334,2.0,6.666666666666667
test_279.cpp,46,4,5,15,8,2,0,11.5,1.25,3.75
test_76.cpp,59,2,1,13,11,6,0,29.5,0.5,6.5
test_231.cpp,151,6,26,68,20,5,7,25.166666666666668,4.333333333333333,11.333333333333334
test_113.cpp,45,3,6,26,13,3,4,15.0,2.0,8.666666666666666
test_153.cpp,145,5,24,62,27,10,0,29.0,4.8,12.4
test_363.cpp,104,5,14,123,32,13,0,20.8,2.8,24.6
test_77.cpp,42,3,3,14,10,6,0,14.0,1.0,4.666666666666667
test_451.cpp,145,4,19,98,47,16,5,36.25,4.75,24.5
test_193.cpp,94,3,19,69,22,5,6,31.333333333333332,6.333333333333333,23.0
test_138.cpp,52,4,9,40,14,9,0,13.0,2.25,10.0
test_190.cpp,127,4,12,99,27,17,10,31.75,3.0,24.75
test_188.cpp,43,4,6,16,7,7,0,10.75,1.5,4.0
test_134.cpp,113,6,6,62,18,21,0,18.833333333333332,1.0,10.333333333333334
test_180.cpp,184,4,17,88,30,15,0,46.0,4.25,22.0
test_133.cpp,84,5,9,52,20,24,6,16.8,1.8,10.4
test_470.cpp,97,4,21,38,21,10,0,24.25,5.25,9.5
test_459.cpp,73,3,11,40,20,4,0,24.333333333333332,3.6666666666666665,13.333333333333334
test_325.cpp,59,3,3,15,7,7,0,19.666666666666668,1.0,5.0
test_324.cpp,234,5,21,139,59,15,1,46.8,4.2,27.8
test_160.cpp,105,3,6,62,28,9,0,35.0,2.0,20.666666666666668
test_360.cpp,58,4,8,40,15,4,0,14.5,2.0,10.0
test_295.cpp,89,7,9,41,10,18,0,12.714285714285714,1.2857142857142858,5.857142857142857
test_235.cpp,66,3,5,34,13,5,12,22.0,1.6666666666666667,11.333333333333334
test_314.cpp,105,7,16,79,35,7,0,15.0,2.2857142857142856,11.285714285714286
test_169.cpp,48,3,6,23,15,6,0,16.0,2.0,7.666666666666667
test_168.cpp,96,3,5,67,25,19,0,32.0,1.6666666666666667,22.333333333333332
test_423.cpp,230,4,22,81,31,18,0,57.5,5.5,20.25
test_354.cpp,88,6,9,50,25,8,0,14.666666666666666,1.5,8.333333333333334
test_468.cpp,120,6,32,115,19,11,32,20.0,5.333333333333333,19.166666666666668
test_437.cpp,106,3,19,59,26,6,0,35.333333333333336,6.333333333333333,19.666666666666668
test_154.cpp,99,4,4,45,23,13,0,24.75,1.0,11.25
test_328.cpp,51,5,5,15,8,3,0,10.2,1.0,3.0
test_352.cpp,71,2,3,27,20,9,4,35.5,1.5,13.5
test_115.cpp,70,4,12,38,17,6,5,17.5,3.0,9.5
test_158.cpp,122,5,6,36,19,18,3,24.4,1.2,7.2
