index,Category,#Error
,Lexical,19
,Syntactic,10
,Linker,94
,Abstract-Type Instantiation,134
,Access Control,93
,Constexpr/Enum/Assert/Literal,1
,Construction/Initialization,70
,Deleted/Special Member,62
,Functions/Call Resolution,33
,Operator/Call,2
,Override/Inheritance,75
,Incomplete Type,108
,Symbol/Lookup,276
,Templates/Generics,14
,Type Conversion/Reference Binding,166
,Type Redefinition/Redeclaration,27
,Qualifier/Specifier Misuse,21
,Pointer/Reference Misuse,1
,This/Non-Static Member/Using Misuse,5
