index,Category,%Error
,Lexical,1.57%
,Syntactic,0.83%
,Linker,7.76%
,Abstract-Type Instantiation,11.07%
,Access Control,7.68%
,Constexpr/Enum/Assert/Literal,0.08%
,Construction/Initialization,5.78%
,Deleted/Special Member,5.12%
,Functions/Call Resolution,2.73%
,Operator/Call,0.17%
,Override/Inheritance,6.19%
,Incomplete Type,8.92%
,Symbol/Lookup,22.79%
,Templates/Generics,1.16%
,Type Conversion/Reference Binding,13.71%
,Type Redefinition/Redeclaration,2.23%
,Qualifier/Specifier Misuse,1.73%
,Pointer/Reference Misuse,0.08%
,This/Non-Static Member/Using Misuse,0.41%
