index,Category,#Error
,Lexical,55
,Syntactic,114
,Linker,76
,Abstract-Type Instantiation,410
,Access Control,47
,Constexpr/Enum/Assert/Literal,114
,Construction/Initialization,327
,Deleted/Special Member,77
,Functions/Call Resolution,104
,Operator/Call,42
,Override/Inheritance,356
,Incomplete Type,180
,Symbol/Lookup,773
,Templates/Generics,68
,Type Conversion/Reference Binding,295
,Type Redefinition/Redeclaration,83
,Qualifier/Specifier Misuse,3
,Pointer/Reference Misuse,17
,This/Non-Static Member/Using Misuse,32
