index,Category,%Error
,Lexical,1.73%
,Syntactic,3.59%
,Linker,2.40%
,Abstract-Type Instantiation,12.92%
,Access Control,1.48%
,Constexpr/Enum/Assert/Literal,3.59%
,Construction/Initialization,10.31%
,Deleted/Special Member,2.43%
,Functions/Call Resolution,3.28%
,Operator/Call,1.32%
,Override/Inheritance,11.22%
,Incomplete Type,5.67%
,Symbol/Lookup,24.36%
,Templates/Generics,2.14%
,Type Conversion/Reference Binding,9.30%
,Type Redefinition/Redeclaration,2.62%
,Qualifier/Specifier Misuse,0.09%
,Pointer/Reference Misuse,0.54%
,This/Non-Static Member/Using Misuse,1.01%
