Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
controllers/global_mapper.cc                    252               252     0.00%           1                 1     0.00%         247               247     0.00%          56                56     0.00%
controllers/global_mapper.h                       1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/option_manager.cc                    92                12    86.96%          20                 0   100.00%         287                 6    97.91%          30                 1    96.67%
controllers/option_manager.h                     26                15    42.31%           3                 0   100.00%          26                 4    84.62%           4                 0   100.00%
controllers/rotation_averager.cc                106               106     0.00%           1                 1     0.00%         145               145     0.00%          72                72     0.00%
controllers/rotation_averager.h                   2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/track_establishment.cc               90                73    18.89%           4                 1    75.00%         150               126    16.00%          68                65     4.41%
controllers/track_establishment.h                 4                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
controllers/track_retriangulation.cc             18                18     0.00%           1                 1     0.00%          88                88     0.00%          18                18     0.00%
estimators/bundle_adjustment.cc                 177                79    55.37%           5                 0   100.00%         198               125    36.87%         100                66    34.00%
estimators/bundle_adjustment.h                    6                 1    83.33%           4                 1    75.00%           9                 1    88.89%           0                 0         -
estimators/cost_function.h                       41                 5    87.80%          20                 3    85.00%         186                38    79.57%          10                 0   100.00%
estimators/global_positioning.cc                429               341    20.51%          12                 9    25.00%         373               327    12.33%         192               170    11.46%
estimators/global_positioning.h                   3                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
estimators/global_rotation_averaging.cc         534               530     0.75%          10                 9    10.00%         587               576     1.87%         298               296     0.67%
estimators/global_rotation_averaging.h            2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
estimators/gravity_refinement.cc                101                53    47.52%           2                 0   100.00%         130                98    24.62%          54                43    20.37%
estimators/gravity_refinement.h                   3                 0   100.00%           2                 0   100.00%           5                 0   100.00%           0                 0         -
estimators/optimization_base.h                    1                 0   100.00%           1                 0   100.00%           6                 0   100.00%           0                 0         -
estimators/relpose_estimation.cc                 61                31    49.18%           2                 1    50.00%         158               137    13.29%          20                14    30.00%
estimators/relpose_estimation.h                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
estimators/rotation_initializer.cc               53                47    11.32%           1                 0   100.00%          88                64    27.27%          46                35    23.91%
estimators/view_graph_calibration.cc            155               155     0.00%           7                 7     0.00%         117               117     0.00%          46                46     0.00%
estimators/view_graph_calibration.h               5                 2    60.00%           3                 1    66.67%           7                 1    85.71%           0                 0         -
io/colmap_converter.cc                          187               182     2.67%           7                 6    14.29%         325               308     5.23%         168               158     5.95%
io/colmap_io.cc                                  65                28    56.92%           2                 1    50.00%          55                19    65.45%          24                 9    62.50%
io/pose_io.cc                                   110                42    61.82%           5                 2    60.00%         162                85    47.53%          60                29    51.67%
math/gravity.cc                                  29                 2    93.10%           5                 1    80.00%          64                 7    89.06%          18                 2    88.89%
math/rigid3d.cc                                  18                 4    77.78%          10                 2    80.00%          48                 3    93.75%           2                 0   100.00%
math/tree.cc                                     43                31    27.91%           2                 1    50.00%          91                57    37.36%          36                26    27.78%
math/two_view_geometry.cc                        13                 1    92.31%           7                 1    85.71%          52                 5    90.38%          10                 2    80.00%
processors/image_pair_inliers.cc                 88                22    75.00%           5                 0   100.00%         154                32    79.22%          68                23    66.18%
processors/image_pair_inliers.h                   5                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
processors/image_undistorter.cc                  35                 1    97.14%           2                 0   100.00%          42                 1    97.62%          14                 1    92.86%
processors/reconstruction_normalizer.cc          27                27     0.00%           1                 1     0.00%          58                58     0.00%          26                26     0.00%
processors/reconstruction_pruning.cc             66                11    83.33%           1                 0   100.00%          94                15    84.04%          40                13    67.50%
processors/relpose_filter.cc                     80                 2    97.50%           3                 0   100.00%          41                 3    92.68%          22                 4    81.82%
processors/track_filter.cc                       99                15    84.85%           3                 0   100.00%          92                23    75.00%          36                13    63.89%
processors/view_graph_manipulation.cc           196               164    16.33%           5                 3    40.00%         244               210    13.93%         136               126     7.35%
scene/camera.h                                    9                 2    77.78%           7                 2    71.43%          21                 8    61.90%           0                 0         -
scene/frame.h                                     7                 2    71.43%           6                 2    66.67%          10                 2    80.00%           0                 0         -
scene/image.h                                    26                 3    88.46%          10                 3    70.00%          41                24    41.46%           6                 0   100.00%
scene/image_pair.h                                9                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
scene/view_graph.cc                              50                10    80.00%           6                 0   100.00%         107                 8    92.52%          50                11    78.00%
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                          3325              2272    31.67%         196                62    68.37%        4530              2970    34.44%        1730              1325    23.41%
