index,Category,#Error
,Lexical,14
,Syntactic,18
,Linker,7
,Abstract-Type Instantiation,9
,Access Control,18
,Constexpr/Enum/Assert/Literal,7
,Construction/Initialization,28
,Deleted/Special Member,21
,Functions/Call Resolution,9
,Operator/Call,7
,Override/Inheritance,3
,Incomplete Type,4
,Symbol/Lookup,152
,Templates/Generics,0
,Type Conversion/Reference Binding,33
,Type Redefinition/Redeclaration,13
,Qualifier/Specifier Misuse,7
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,0
