index,Category,%Error
,Lexical,4.00%
,Syntactic,5.14%
,Linker,2.00%
,Abstract-Type Instantiation,2.57%
,Access Control,5.14%
,Constexpr/Enum/Assert/Literal,2.00%
,Construction/Initialization,8.00%
,Deleted/Special Member,6.00%
,Functions/Call Resolution,2.57%
,Operator/Call,2.00%
,Override/Inheritance,0.86%
,Incomplete Type,1.14%
,Symbol/Lookup,43.43%
,Templates/Generics,0.00%
,Type Conversion/Reference Binding,9.43%
,Type Redefinition/Redeclaration,3.71%
,Qualifier/Specifier Misuse,2.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.00%
