Filename                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
browse.cc                          26                26     0.00%           1                 1     0.00%          47                47     0.00%          15                15     0.00%
build.cc                          636               632     0.63%          37                36     2.70%         715               711     0.56%         418               418     0.00%
build.h                            11                 7    36.36%           9                 6    33.33%          13                10    23.08%           4                 3    25.00%
build_log.cc                      203               145    28.57%          16                 5    68.75%         276               209    24.28%         110                94    14.55%
build_log.h                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
clean.cc                          183               176     3.83%          21                20     4.76%         228               221     3.07%          94                94     0.00%
clean.h                             6                 1    83.33%           2                 1    50.00%           7                 3    57.14%           6                 0   100.00%
clparser.cc                        63                63     0.00%           5                 5     0.00%          64                64     0.00%          52                52     0.00%
command_collector.h                21                21     0.00%           1                 1     0.00%          12                12     0.00%          14                14     0.00%
depfile_parser.cc                 221               221     0.00%           2                 2     0.00%         292               292     0.00%         142               142     0.00%
depfile_parser.h                    1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
deps_log.cc                       287               172    40.07%          13                 3    76.92%         308               200    35.06%         187               137    26.74%
deps_log.h                          9                 0   100.00%           4                 0   100.00%           4                 0   100.00%           0                 0         -
disk_interface.cc                  87                87     0.00%          10                10     0.00%         104               104     0.00%          46                46     0.00%
disk_interface.h                    2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
dyndep.cc                          29                29     0.00%           4                 4     0.00%          63                63     0.00%          22                22     0.00%
dyndep.h                            7                 3    57.14%           2                 1    50.00%           3                 1    66.67%           0                 0         -
dyndep_parser.cc                  129               129     0.00%           5                 5     0.00%         163               163     0.00%          92                92     0.00%
dyndep_parser.h                     1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
edit_distance.cc                   24                 0   100.00%           1                 0   100.00%          30                 0   100.00%          16                 0   100.00%
elide_middle.cc                    91                91     0.00%          17                17     0.00%         109               109     0.00%          54                54     0.00%
eval_env.cc                       117                33    71.79%          17                 3    82.35%         134                35    73.88%          76                32    57.89%
eval_env.h                         13                 2    84.62%           8                 1    87.50%           8                 1    87.50%           4                 0   100.00%
explanations.h                     13                 0   100.00%           4                 0   100.00%          20                 0   100.00%           6                 0   100.00%
graph.cc                          411               381     7.30%          34                24    29.41%         516               469     9.11%         299               288     3.68%
graph.h                            61                 4    93.44%          41                 1    97.56%          88                 5    94.32%           8                 2    75.00%
graphviz.cc                        34                34     0.00%           3                 3     0.00%          52                52     0.00%          24                24     0.00%
graphviz.h                          2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
hash_map.h                          1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
