index,Category,%Error
,Lexical,0.56%
,Syntactic,0.00%
,Linker,44.85%
,Abstract-Type Instantiation,2.51%
,Access Control,1.95%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,0.28%
,Deleted/Special Member,0.28%
,Functions/Call Resolution,1.11%
,Operator/Call,0.28%
,Override/Inheritance,0.84%
,Incomplete Type,3.06%
,Symbol/Lookup,35.38%
,Templates/Generics,0.84%
,Type Conversion/Reference Binding,5.85%
,Type Redefinition/Redeclaration,1.67%
,Qualifier/Specifier Misuse,0.28%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.28%
