file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_100.cpp,87,8,18,24,9,5,0,10.875,2.25,3.0
test_279.cpp,136,7,33,124,45,12,0,19.428571428571427,4.714285714285714,17.714285714285715
test_113.cpp,46,6,10,39,14,7,0,7.666666666666667,1.6666666666666667,6.5
test_45.cpp,48,3,3,21,12,6,0,16.0,1.0,7.0
test_77.cpp,50,7,11,33,13,2,0,7.142857142857143,1.5714285714285714,4.714285714285714
test_222.cpp,92,6,26,61,22,7,0,15.333333333333334,4.333333333333333,10.166666666666666
test_193.cpp,78,7,25,54,20,8,0,11.142857142857142,3.5714285714285716,7.714285714285714
test_138.cpp,70,4,28,50,17,10,0,17.5,7.0,12.5
test_180.cpp,126,6,28,110,22,8,28,21.0,4.666666666666667,18.333333333333332
test_325.cpp,86,6,17,60,23,15,0,14.333333333333334,2.8333333333333335,10.0
test_160.cpp,110,8,19,52,17,12,0,13.75,2.375,6.5
test_295.cpp,59,5,6,31,13,4,0,11.8,1.2,6.2
test_235.cpp,77,8,24,41,12,2,0,9.625,3.0,5.125
test_314.cpp,71,5,16,50,16,3,0,14.2,3.2,10.0
test_169.cpp,139,5,24,75,34,9,0,27.8,4.8,15.0
test_47.cpp,31,3,5,7,5,4,0,10.333333333333334,1.6666666666666667,2.3333333333333335
test_219.cpp,112,7,39,73,21,5,0,16.0,5.571428571428571,10.428571428571429
test_115.cpp,47,6,12,21,9,2,0,7.833333333333333,2.0,3.5
test_254.cpp,89,10,15,28,9,13,0,8.9,1.5,2.8
test_212.cpp,99,7,32,51,16,8,0,14.142857142857142,4.571428571428571,7.285714285714286
test_101.cpp,77,6,15,22,10,2,0,12.833333333333334,2.5,3.6666666666666665
test_43.cpp,37,4,4,15,8,7,0,9.25,1.0,3.75
test_289.cpp,75,6,23,56,13,1,0,12.5,3.8333333333333335,9.333333333333334
test_42.cpp,39,3,4,13,8,6,0,13.0,1.3333333333333333,4.333333333333333
test_135.cpp,88,6,27,50,14,14,0,14.666666666666666,4.5,8.333333333333334
test_278.cpp,72,5,27,45,18,4,0,14.4,5.4,9.0
test_181.cpp,106,5,35,61,21,6,0,21.2,7.0,12.2
test_48.cpp,46,4,7,19,7,9,0,11.5,1.75,4.75
test_312.cpp,102,6,8,74,14,4,0,17.0,1.3333333333333333,12.333333333333334
test_284.cpp,72,4,11,32,17,8,0,18.0,2.75,8.0
test_323.cpp,94,5,11,54,18,9,0,18.8,2.2,10.8
test_305.cpp,111,6,27,89,16,4,0,18.5,4.5,14.833333333333334
test_256.cpp,63,7,10,28,11,10,0,9.0,1.4285714285714286,4.0
test_291.cpp,128,9,22,89,31,16,0,14.222222222222221,2.4444444444444446,9.88888888888889
test_107.cpp,110,15,27,70,33,4,4,7.333333333333333,1.8,4.666666666666667
test_69.cpp,82,5,17,42,12,3,0,16.4,3.4,8.4
test_318.cpp,66,5,7,30,15,15,0,13.2,1.4,6.0
test_297.cpp,55,5,5,29,10,5,0,11.0,1.0,5.8
test_109.cpp,30,4,5,6,4,1,0,7.5,1.25,1.5
test_233.cpp,61,6,10,27,10,10,0,10.166666666666666,1.6666666666666667,4.5
test_46.cpp,57,4,5,17,8,5,0,14.25,1.25,4.25
test_102.cpp,81,6,15,36,18,3,3,13.5,2.5,6.0
test_326.cpp,46,4,1,12,8,9,0,11.5,0.25,3.0
test_61.cpp,52,5,8,24,10,8,0,10.4,1.6,4.8
test_301.cpp,59,5,11,40,15,2,0,11.8,2.2,8.0
test_303.cpp,96,7,18,67,26,4,0,13.714285714285714,2.5714285714285716,9.571428571428571
test_185.cpp,78,6,21,66,18,10,0,13.0,3.5,11.0
test_217.cpp,71,6,17,30,13,2,0,11.833333333333334,2.8333333333333335,5.0
test_310.cpp,83,5,15,67,29,11,0,16.6,3.0,13.4
test_106.cpp,34,3,5,15,10,2,0,11.333333333333334,1.6666666666666667,5.0
test_119.cpp,68,9,18,40,18,14,0,7.555555555555555,2.0,4.444444444444445
test_307.cpp,68,5,14,42,14,4,0,13.6,2.8,8.4
test_33.cpp,33,3,3,7,4,7,0,11.0,1.0,2.3333333333333335
test_203.cpp,83,5,18,45,17,11,0,16.6,3.6,9.0
test_322.cpp,82,4,19,65,25,7,0,20.5,4.75,16.25
