index,Category,#Error
,Lexical,0
,Syntactic,2
,Linker,8
,Abstract-Type Instantiation,51
,Access Control,71
,Constexpr/Enum/Assert/Literal,0
,Construction/Initialization,19
,Deleted/Special Member,15
,Functions/Call Resolution,37
,Operator/Call,0
,Override/Inheritance,11
,Incomplete Type,0
,Symbol/Lookup,157
,Templates/Generics,0
,Type Conversion/Reference Binding,86
,Type Redefinition/Redeclaration,1
,Qualifier/Specifier Misuse,6
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,0
