index,Category,%Error
,Lexical,0.00%
,Syntactic,0.43%
,Linker,1.72%
,Abstract-Type Instantiation,10.99%
,Access Control,15.30%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,4.09%
,Deleted/Special Member,3.23%
,Functions/Call Resolution,7.97%
,Operator/Call,0.00%
,Override/Inheritance,2.37%
,Incomplete Type,0.00%
,Symbol/Lookup,33.84%
,Templates/Generics,0.00%
,Type Conversion/Reference Binding,18.53%
,Type Redefinition/Redeclaration,0.22%
,Qualifier/Specifier Misuse,1.29%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.00%
