Filename                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
include/yaml-cpp/binary.h                              9                 0   100.00%           3                 0   100.00%           5                 0   100.00%           4                 0   100.00%
include/yaml-cpp/contrib/anchordict.h                  6                 6     0.00%           3                 3     0.00%           8                 8     0.00%           2                 2     0.00%
include/yaml-cpp/contrib/graphbuilder.h                3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
include/yaml-cpp/depthguard.h                          6                 1    83.33%           3                 0   100.00%          10                 2    80.00%           2                 1    50.00%
include/yaml-cpp/emitfromevents.h                      1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/emitter.h                             7                 1    85.71%           7                 1    85.71%          63                45    28.57%           0                 0         -
include/yaml-cpp/emittermanip.h                       15                 3    80.00%          10                 3    70.00%          18                 7    61.11%           0                 0         -
include/yaml-cpp/eventhandler.h                        2                 1    50.00%           2                 1    50.00%           3                 2    33.33%           0                 0         -
include/yaml-cpp/exceptions.h                         30                10    66.67%          15                 8    46.67%          34                10    70.59%           4                 0   100.00%
include/yaml-cpp/mark.h                               14                 0   100.00%           4                 0   100.00%           4                 0   100.00%           6                 0   100.00%
include/yaml-cpp/node/convert.h                       12                12     0.00%          12                12     0.00%          86                86     0.00%           0                 0         -
include/yaml-cpp/node/detail/memory.h                  5                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
include/yaml-cpp/node/detail/node.h                   34                 0   100.00%          22                 0   100.00%          62                 0   100.00%           8                 0   100.00%
include/yaml-cpp/node/detail/node_data.h               9                 0   100.00%           6                 0   100.00%           8                 0   100.00%           2                 0   100.00%
include/yaml-cpp/node/detail/node_iterator.h          52                 8    84.62%          13                 1    92.31%          64                 8    87.50%          34                 7    79.41%
include/yaml-cpp/node/detail/node_ref.h               19                 0   100.00%          18                 0   100.00%          26                 0   100.00%           0                 0         -
include/yaml-cpp/node/impl.h                          30                 5    83.33%          10                 4    60.00%          40                27    32.50%           8                 1    87.50%
include/yaml-cpp/node/node.h                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/noexcept.h                            1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/ostream_wrapper.h                    11                 0   100.00%           8                 0   100.00%          24                 0   100.00%           2                 0   100.00%
include/yaml-cpp/traits.h                              1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
src/binary.cpp                                        34                 0   100.00%           2                 0   100.00%          65                 0   100.00%          28                 2    92.86%
src/collectionstack.h                                 17                 5    70.59%           4                 0   100.00%          14                 0   100.00%           4                 1    75.00%
src/contrib/dragonbox.h                              344               123    64.24%          83                14    83.13%         860               392    54.42%          97                48    50.52%
src/contrib/graphbuilder.cpp                           4                 4     0.00%           1                 1     0.00%           7                 7     0.00%           2                 2     0.00%
src/contrib/graphbuilderadapter.cpp                   24                24     0.00%          10                10     0.00%          66                66     0.00%          10                10     0.00%
src/contrib/graphbuilderadapter.h                     12                12     0.00%           7                 7     0.00%          11                11     0.00%           0                 0         -
src/convert.cpp                                       38                 0   100.00%           8                 0   100.00%          46                 0   100.00%          30                 2    93.33%
src/depthguard.cpp                                     3                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
src/directives.cpp                                    10                 0   100.00%           2                 0   100.00%          10                 0   100.00%           4                 0   100.00%
src/emit.cpp                                           3                 0   100.00%           3                 0   100.00%          16                 0   100.00%           0                 0         -
src/emitfromevents.cpp                                58                17    70.69%          13                 2    84.62%          93                16    82.80%          34                 6    82.35%
src/emitter.cpp                                      575               240    58.26%          66                 6    90.91%         790               241    69.49%         549               243    55.74%
src/emitterstate.cpp                                 236                46    80.51%          41                 1    97.56%         311                29    90.68%         139                23    83.45%
src/emitterstate.h                                    68                19    72.06%          26                 0   100.00%          62                 3    95.16%          24                 3    87.50%
src/emitterutils.cpp                                 304                64    78.95%          24                 3    87.50%         414               103    75.12%         258                80    68.99%
src/exp.cpp                                           69                11    84.06%           4                 0   100.00%          90                22    75.56%          78                12    84.62%
