file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_274.cpp,78,7,16,19,8,4,0,11.142857142857142,2.2857142857142856,2.7142857142857144
test_270.cpp,108,8,19,33,14,5,0,13.5,2.375,4.125
test_272.cpp,114,7,15,24,10,5,0,16.285714285714285,2.142857142857143,3.4285714285714284
test_660.cpp,69,7,11,13,5,3,0,9.857142857142858,1.5714285714285714,1.8571428571428572
test_676.cpp,97,5,28,102,22,13,0,19.4,5.6,20.4
test_279.cpp,58,7,21,48,5,2,0,8.285714285714286,3.0,6.857142857142857
test_231.cpp,84,5,29,65,15,2,0,16.8,5.8,13.0
test_113.cpp,69,5,19,44,10,22,0,13.8,3.8,8.8
test_153.cpp,88,6,7,37,11,11,0,14.666666666666666,1.1666666666666667,6.166666666666667
test_663.cpp,58,7,7,11,3,3,0,8.285714285714286,1.0,1.5714285714285714
test_353.cpp,49,5,9,43,14,2,0,9.8,1.8,8.6
test_675.cpp,206,8,45,140,45,12,27,25.75,5.625,17.5
test_363.cpp,63,5,5,15,11,1,0,12.6,1.0,3.0
test_681.cpp,94,7,12,40,16,14,0,13.428571428571429,1.7142857142857142,5.714285714285714
test_628.cpp,70,8,8,9,4,3,0,8.75,1.0,1.125
test_198.cpp,48,4,9,11,8,3,0,12.0,2.25,2.75
test_64.cpp,84,4,26,51,12,2,0,21.0,6.5,12.75
test_499.cpp,86,6,36,112,10,3,0,14.333333333333334,6.0,18.666666666666668
test_612.cpp,70,6,13,34,12,12,0,11.666666666666666,2.1666666666666665,5.666666666666667
test_674.cpp,81,9,20,42,20,3,0,9.0,2.2222222222222223,4.666666666666667
test_396.cpp,74,5,5,11,11,3,0,14.8,1.0,2.2
test_470.cpp,26,3,5,17,6,2,0,8.666666666666666,1.6666666666666667,5.666666666666667
test_459.cpp,39,3,7,14,6,3,0,13.0,2.3333333333333335,4.666666666666667
test_325.cpp,80,10,19,13,7,3,0,8.0,1.9,1.3
test_324.cpp,101,7,18,50,14,5,0,14.428571428571429,2.5714285714285716,7.142857142857143
