index,Category,#Error
,Lexical,51
,Syntactic,59
,Linker,110
,Abstract-Type Instantiation,2
,Access Control,44
,Constexpr/Enum/Assert/Literal,84
,Construction/Initialization,29
,Deleted/Special Member,20
,Functions/Call Resolution,122
,Operator/Call,59
,Override/Inheritance,0
,Incomplete Type,44
,Symbol/Lookup,1182
,Templates/Generics,48
,Type Conversion/Reference Binding,59
,Type Redefinition/Redeclaration,3
,Qualifier/Specifier Misuse,0
,Pointer/Reference Misuse,1
,This/Non-Static Member/Using Misuse,21
