index,Category,%Error
,Lexical,2.63%
,Syntactic,3.04%
,Linker,5.68%
,Abstract-Type Instantiation,0.10%
,Access Control,2.27%
,Constexpr/Enum/Assert/Literal,4.33%
,Construction/Initialization,1.50%
,Deleted/Special Member,1.03%
,Functions/Call Resolution,6.30%
,Operator/Call,3.04%
,Override/Inheritance,0.00%
,Incomplete Type,2.27%
,Symbol/Lookup,60.99%
,Templates/Generics,2.48%
,Type Conversion/Reference Binding,3.04%
,Type Redefinition/Redeclaration,0.15%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.05%
,This/Non-Static Member/Using Misuse,1.08%
