index,Category,#Error
,Lexical,564
,Syntactic,737
,Linker,31
,Abstract-Type Instantiation,950
,Access Control,471
,Constexpr/Enum/Assert/Literal,21
,Construction/Initialization,506
,Deleted/Special Member,24
,Functions/Call Resolution,210
,Operator/Call,88
,Override/Inheritance,1736
,Incomplete Type,1468
,Symbol/Lookup,4608
,Templates/Generics,28
,Type Conversion/Reference Binding,1165
,Type Redefinition/Redeclaration,9
,Qualifier/Specifier Misuse,129
,Pointer/Reference Misuse,35
,This/Non-Static Member/Using Misuse,66
