index,Category,%Error
,Lexical,4.39%
,Syntactic,5.74%
,Linker,0.24%
,Abstract-Type Instantiation,7.40%
,Access Control,3.67%
,Constexpr/Enum/Assert/Literal,0.16%
,Construction/Initialization,3.94%
,Deleted/Special Member,0.19%
,Functions/Call Resolution,1.63%
,Operator/Call,0.69%
,Override/Inheritance,13.51%
,Incomplete Type,11.43%
,Symbol/Lookup,35.87%
,Templates/Generics,0.22%
,Type Conversion/Reference Binding,9.07%
,Type Redefinition/Redeclaration,0.07%
,Qualifier/Specifier Misuse,1.00%
,Pointer/Reference Misuse,0.27%
,This/Non-Static Member/Using Misuse,0.51%
