Filename                                              Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
build/glib/poppler-enums.c                                928               928     0.00%          58                58     0.00%        1115              1115     0.00%         232               232     0.00%
fofi/FoFiBase.cc                                          112               112     0.00%          13                13     0.00%         132               132     0.00%          74                74     0.00%
fofi/FoFiIdentifier.cc                                    323               323     0.00%          26                26     0.00%         300               300     0.00%         228               228     0.00%
fofi/FoFiTrueType.cc                                      715               715     0.00%          37                37     0.00%        1252              1252     0.00%         534               534     0.00%
fofi/FoFiTrueType.h                                         1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
fofi/FoFiType1.cc                                         209               209     0.00%          11                11     0.00%         223               223     0.00%         169               169     0.00%
fofi/FoFiType1C.cc                                       1307              1307     0.00%          33                33     0.00%        2315              2315     0.00%        1140              1140     0.00%
glib/poppler-action.cc                                    326               326     0.00%          22                22     0.00%         508               508     0.00%         270               270     0.00%
glib/poppler-action.h                                       2                 2     0.00%           2                 2     0.00%           0                 0         -           0                 0         -
glib/poppler-annot.cc                                    2208              2207     0.05%         150               149     0.67%        1215              1212     0.25%         921               921     0.00%
glib/poppler-annot.h                                       15                15     0.00%          15                15     0.00%           0                 0         -           0                 0         -
glib/poppler-attachment.cc                                271               271     0.00%          14                14     0.00%         166               166     0.00%          97                97     0.00%
glib/poppler-attachment.h                                   1                 1     0.00%           1                 1     0.00%           0                 0         -           0                 0         -
glib/poppler-cached-file-loader.cc                         61                61     0.00%           4                 4     0.00%          66                66     0.00%          30                30     0.00%
glib/poppler-date.cc                                        7                 7     0.00%           1                 1     0.00%           9                 9     0.00%           2                 2     0.00%
glib/poppler-document.cc                                 3030              3030     0.00%         140               140     0.00%        1761              1761     0.00%        1379              1379     0.00%
glib/poppler-document.h                                     6                 6     0.00%           6                 6     0.00%           0                 0         -           0                 0         -
glib/poppler-form-field.cc                               2555              2555     0.00%         110               110     0.00%         842               842     0.00%         858               858     0.00%
glib/poppler-form-field.h                                   4                 4     0.00%           4                 4     0.00%           0                 0         -           0                 0         -
glib/poppler-input-stream.cc                               21                21     0.00%           7                 7     0.00%          27                27     0.00%           4                 4     0.00%
glib/poppler-layer.cc                                     220               220     0.00%          11                11     0.00%          72                72     0.00%          86                86     0.00%
glib/poppler-layer.h                                        1                 1     0.00%           1                 1     0.00%           0                 0         -           0                 0         -
glib/poppler-media.cc                                     391               391     0.00%          15                15     0.00%         145               145     0.00%         144               144     0.00%
glib/poppler-media.h                                        1                 1     0.00%           1                 1     0.00%           0                 0         -           0                 0         -
glib/poppler-movie.cc                                     316               316     0.00%          16                16     0.00%          98                98     0.00%         130               130     0.00%
glib/poppler-movie.h                                        1                 1     0.00%           1                 1     0.00%           0                 0         -           0                 0         -
glib/poppler-page.cc                                     1611              1611     0.00%          94                94     0.00%        1206              1206     0.00%         753               753     0.00%
glib/poppler-page.h                                        11                11     0.00%          11                11     0.00%           0                 0         -           0                 0         -
glib/poppler-structure-element.cc                        2523              2523     0.00%          82                82     0.00%         698               698     0.00%         932               932     0.00%
glib/poppler-structure-element.h                            3                 3     0.00%           3                 3     0.00%           0                 0         -           0                 0         -
glib/poppler.cc                                            13                13     0.00%           4                 4     0.00%          20                20     0.00%           8                 8     0.00%
goo/GooCheckedOps.h                                         6                 0   100.00%           6                 0   100.00%          25                 0   100.00%           0                 0         -
goo/GooString.cc                                          289               225    22.15%          10                 8    20.00%         445               355    20.22%         298               186    37.58%
goo/GooString.h                                            30                 8    73.33%          15                 4    73.33%          15                 4    73.33%           6                 3    50.00%
goo/GooTimer.cc                                             6                 6     0.00%           4                 4     0.00%          18                18     0.00%           2                 2     0.00%
goo/ImgWriter.cc                                            1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
goo/ImgWriter.h                                             2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
goo/JpegWriter.cc                                          62                62     0.00%          12                12     0.00%         114               114     0.00%          44                44     0.00%
goo/NetPBMWriter.cc                                        18                18     0.00%           5                 5     0.00%          34                34     0.00%           8                 8     0.00%
goo/PNGWriter.cc                                           76                76     0.00%           9                 9     0.00%         117               117     0.00%          42                42     0.00%
goo/TiffWriter.cc                                         101               101     0.00%           7                 7     0.00%         142               142     0.00%          42                42     0.00%
goo/TiffWriter.h                                            1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
