index,Category,#Error
,Lexical,833
,Syntactic,644
,Linker,1812
,Abstract-Type Instantiation,606
,Access Control,410
,Constexpr/Enum/Assert/Literal,47
,Construction/Initialization,925
,Deleted/Special Member,228
,Functions/Call Resolution,251
,Operator/Call,85
,Override/Inheritance,1426
,Incomplete Type,562
,Symbol/Lookup,4969
,Templates/Generics,25
,Type Conversion/Reference Binding,438
,Type Redefinition/Redeclaration,49
,Qualifier/Specifier Misuse,1073
,Pointer/Reference Misuse,11
,This/Non-Static Member/Using Misuse,131
