index,Category,%Error
,Lexical,5.73%
,Syntactic,4.43%
,Linker,12.48%
,Abstract-Type Instantiation,4.17%
,Access Control,2.82%
,Constexpr/Enum/Assert/Literal,0.32%
,Construction/Initialization,6.37%
,Deleted/Special Member,1.57%
,Functions/Call Resolution,1.73%
,Operator/Call,0.59%
,Override/Inheritance,9.82%
,Incomplete Type,3.87%
,Symbol/Lookup,34.21%
,Templates/Generics,0.17%
,Type Conversion/Reference Binding,3.02%
,Type Redefinition/Redeclaration,0.34%
,Qualifier/Specifier Misuse,7.39%
,Pointer/Reference Misuse,0.08%
,This/Non-Static Member/Using Misuse,0.90%
