index,PROJECT,#Code Files,LOC,#function under test,#generated test cases,#build success,build success rate,#run success,run success rate
1,JsonBox,19,1467,72,644,56,0.7777777777777778,56,1.0
2,re2,77,27844,609,3519,339,0.5566502463054187,276,0.8141592920353983
3,leveldb,126,19016,495,2441,240,0.48484848484848486,202,0.8416666666666667
4,Catch2,272,38848,1115,5894,561,0.5031390134529148,512,0.9094138543516874
5,glomap,71,6813,168,699,107,0.6369047619047619,102,0.9532710280373832
6,ninja,119,21735,170,879,113,0.6647058823529411,111,0.9823008849557522
7,tinyxml2,3,5841,328,2027,218,0.6646341463414634,201,0.9220183486238532
8,yaml-cpp,91,9215,685,4243,420,0.6131386861313869,413,0.9833333333333333
9,exiv2,182,68638,2206,13229,659,0.2987307343608341,623,0.9453717754172989
10,poppler,548,195640,2791,16392,337,0.12074525259763526,265,0.7863501483679525
,TOTAL,1508,395057,8639,49967,3050,0.5321274986073619,2761,0.9137885331789326
