log,error_type,loc,cc,nested_depth,params,object_params,fan_in,fan_out,halstead_volume,halstead_effort,project
test_58.log,PASS,3,1,0,0,0,3,1,55.51,249.78,JsonBox
test_16.log,PASS,4,1,0,1,1,0,1,114.69,1124.0,JsonBox
test_23.log,PASS,32,9,3,1,1,3,6,999.42,26549.77,JsonBox
test_43.log,PASS,3,2,0,1,1,1,0,167.37,1562.14,JsonBox
test_2.log,PASS,44,13,2,1,1,1,0,2664.51,117625.35,JsonBox
test_37.log,PASS,3,2,0,0,0,0,0,72.0,475.2,JsonBox
test_41.log,PASS,3,1,0,0,0,0,0,53.3,266.51,JsonBox
test_29.log,PASS,8,2,1,1,1,1,1,252.01,4032.14,JsonBox
test_68.log,Lexical,18,4,3,2,2,1,1,814.24,25078.59,JsonBox
test_15.log,Operator/Call,31,8,2,1,1,0,1,999.71,29882.58,JsonBox
test_15.log,Symbol/Lookup,31,8,2,1,1,0,1,999.71,29882.58,JsonBox
test_66.log,PASS,11,2,1,3,1,0,1,405.0,5002.94,JsonBox
test_47.log,PASS,3,3,0,1,0,1,0,235.02,2663.58,JsonBox
test_35.log,PASS,3,1,0,0,0,0,0,53.3,266.51,JsonBox
test_39.log,PASS,3,1,0,0,0,0,0,53.3,266.51,JsonBox
test_24.log,PASS,3,1,0,1,1,0,1,95.91,1534.53,JsonBox
test_14.log,PASS,3,1,0,0,0,0,1,38.04,199.71,JsonBox
test_22.log,PASS,4,1,0,1,0,0,1,94.01,1096.8,JsonBox
test_72.log,PASS,25,7,1,1,1,0,1,851.99,21725.65,JsonBox
test_63.log,PASS,120,43,12,1,1,4,9,4773.52,274065.89,JsonBox
test_51.log,PASS,3,1,0,0,0,0,1,84.0,504.0,JsonBox
test_18.log,PASS,4,1,0,1,0,0,0,94.01,1096.8,JsonBox
test_8.log,Templates/Generics,3,1,0,0,0,0,0,76.0,380.0,JsonBox
test_50.log,PASS,3,3,0,1,0,1,0,235.02,2663.58,JsonBox
test_59.log,PASS,3,2,0,1,0,1,0,129.32,905.26,JsonBox
test_6.log,PASS,6,4,1,0,0,0,0,66.61,444.05,JsonBox
test_62.log,PASS,4,1,0,1,1,0,1,110.36,682.86,JsonBox
test_27.log,PASS,3,1,0,1,1,1,1,95.91,1534.53,JsonBox
test_26.log,PASS,3,2,0,1,1,1,2,106.2,2256.71,JsonBox
test_55.log,PASS,9,2,1,1,1,2,1,222.91,3170.21,JsonBox
test_67.log,PASS,32,9,2,2,2,4,9,1061.04,23342.99,JsonBox
test_71.log,PASS,3,1,0,1,1,2,1,106.27,597.79,JsonBox
test_48.log,Functions/Call Resolution,9,2,1,1,0,1,1,208.08,2731.1,JsonBox
test_69.log,PASS,21,4,3,2,2,1,2,1021.54,28493.61,JsonBox
test_17.log,PASS,4,1,0,1,0,0,1,104.25,1303.1,JsonBox
test_64.log,PASS,10,2,1,1,1,0,1,423.73,5473.17,JsonBox
test_61.log,PASS,5,1,0,0,0,1,1,89.92,404.66,JsonBox
test_46.log,Symbol/Lookup,3,1,0,0,0,3,1,55.51,249.78,JsonBox
test_13.log,PASS,8,3,1,1,0,3,0,353.92,5463.65,JsonBox
test_31.log,Operator/Call,12,4,1,1,1,0,1,418.68,9891.43,JsonBox
test_10.log,PASS,3,1,0,0,0,0,0,48.11,216.48,JsonBox
test_20.log,PASS,4,1,0,1,1,0,1,104.25,1094.61,JsonBox
test_56.log,PASS,3,2,0,0,0,3,0,129.32,905.26,JsonBox
test_1.log,PASS,37,23,2,2,2,0,1,2200.3,102375.23,JsonBox
test_28.log,PASS,3,2,0,1,1,0,2,106.2,2256.71,JsonBox
test_12.log,PASS,28,20,2,1,1,0,1,1466.41,61941.22,JsonBox
test_65.log,PASS,4,1,0,3,1,1,1,133.98,1368.51,JsonBox
test_45.log,PASS,9,2,1,1,1,3,1,244.42,3519.69,JsonBox
test_5.log,PASS,13,12,1,2,2,0,0,691.97,14116.26,JsonBox
test_11.log,PASS,26,18,2,1,1,2,1,1336.7,53913.65,JsonBox
test_21.log,Operator/Call,4,1,0,1,1,0,1,104.25,1094.61,JsonBox
test_38.log,PASS,3,1,0,0,0,0,0,53.3,266.51,JsonBox
test_54.log,PASS,3,2,0,0,0,3,0,129.32,905.26,JsonBox
test_49.log,Symbol/Lookup,3,1,0,0,0,3,1,55.51,249.78,JsonBox
test_30.log,PASS,3,1,0,1,0,0,1,116.76,1225.96,JsonBox
test_36.log,PASS,3,1,0,0,0,0,0,53.3,266.51,JsonBox
test_7.log,PASS,11,5,1,1,1,0,0,488.06,11225.32,JsonBox
test_52.log,PASS,3,3,0,1,0,1,0,263.22,2983.21,JsonBox
test_9.log,PASS,3,1,0,0,0,0,0,33.22,116.27,JsonBox
test_42.log,This/Non-Static Member/Using Misuse,3,1,0,0,0,3,1,74.23,334.04,JsonBox
test_34.log,PASS,3,2,0,0,0,0,0,72.0,475.2,JsonBox
test_60.log,PASS,9,2,1,1,0,2,1,208.08,2731.1,JsonBox
test_19.log,PASS,4,1,0,1,0,0,1,94.01,1096.8,JsonBox
test_3.log,PASS,48,12,2,1,1,0,0,2491.36,95668.04,JsonBox
test_32.log,PASS,3,1,0,0,0,0,0,50.19,250.95,JsonBox
test_44.log,This/Non-Static Member/Using Misuse,28,9,2,0,0,0,1,750.06,12219.68,JsonBox
test_33.log,PASS,3,1,0,0,0,0,0,53.3,266.51,JsonBox
test_53.log,PASS,9,2,1,1,0,2,1,208.08,2731.1,JsonBox
test_4.log,Override/Inheritance,9,3,1,2,2,0,0,411.2,7675.7,JsonBox
test_4.log,Symbol/Lookup,9,3,1,2,2,0,0,411.2,7675.7,JsonBox
test_57.log,PASS,9,2,1,1,1,2,1,222.91,3170.21,JsonBox
test_25.log,PASS,30,9,3,1,1,1,6,955.03,23875.71,JsonBox
test_70.log,PASS,21,12,2,2,2,0,0,893.59,24252.14,JsonBox
test_40.log,PASS,3,1,0,0,0,0,0,53.3,266.51,JsonBox
test_513.log,PASS,18,9,1,2,1,1,0,834.06,29840.74,re2
test_141.log,PASS,1,1,0,0,0,0,1,50.19,225.85,re2
test_448.log,PASS,5,1,0,0,0,0,1,64.53,322.65,re2
test_179.log,PASS,1,1,0,0,0,0,0,33.22,132.88,re2
test_437.log,PASS,5,3,0,2,2,1,0,372.92,9696.02,re2
test_266.log,PASS,5,2,0,3,0,0,0,120.4,1123.78,re2
test_490.log,Access Control,6,2,1,0,0,1,2,125.1,703.67,re2
test_490.log,Symbol/Lookup,6,2,1,0,0,1,2,125.1,703.67,re2
test_490.log,This/Non-Static Member/Using Misuse,6,2,1,0,0,1,2,125.1,703.67,re2
test_97.log,PASS,3,1,0,2,0,0,0,110.45,1237.0,re2
test_258.log,PASS,15,4,0,4,4,0,4,703.71,17210.18,re2
test_293.log,Lexical,13,7,0,2,2,0,5,518.06,8725.18,re2
test_411.log,PASS,71,30,5,0,0,1,13,2876.54,174656.18,re2
test_423.log,PASS,13,4,1,2,2,2,3,520.0,19448.0,re2
test_467.log,Access Control,3,3,0,2,2,0,0,245.27,6671.31,re2
test_316.log,PASS,91,26,3,3,2,2,6,3074.17,327091.55,re2
test_502.log,Access Control,5,1,0,0,0,2,1,158.32,1600.84,re2
test_502.log,Symbol/Lookup,5,1,0,0,0,2,1,158.32,1600.84,re2
test_358.log,PASS,5,1,0,0,0,1,0,164.23,2135.03,re2
test_299.log,PASS,7,2,0,1,1,1,2,238.04,2636.76,re2
test_509.log,Lexical,36,10,2,1,1,2,7,1524.2,77175.3,re2
test_275.log,Functions/Call Resolution,14,5,0,4,0,2,1,613.17,17072.89,re2
test_89.log,PASS,3,1,0,0,0,0,0,43.02,193.59,re2
test_594.log,Functions/Call Resolution,13,2,0,1,1,0,1,475.49,7798.02,re2
test_594.log,Symbol/Lookup,13,2,0,1,1,0,1,475.49,7798.02,re2
test_444.log,PASS,6,2,0,0,0,3,0,98.1,706.31,re2
test_58.log,Lexical,6,1,1,2,1,0,1,252.01,3307.62,re2
test_595.log,PASS,3,1,0,2,2,0,1,68.53,513.99,re2
test_291.log,PASS,3,1,0,1,1,5,0,62.51,375.06,re2
test_245.log,PASS,8,3,0,0,0,1,2,201.74,2185.5,re2
test_161.log,Syntactic,4,1,0,0,0,5,0,59.21,236.83,re2
test_161.log,This/Non-Static Member/Using Misuse,4,1,0,0,0,5,0,59.21,236.83,re2
test_161.log,Symbol/Lookup,4,1,0,0,0,5,0,59.21,236.83,re2
test_16.log,PASS,1,1,0,0,0,1,0,33.22,132.88,re2
test_23.log,PASS,1,1,0,1,0,2,0,41.51,221.4,re2
test_192.log,Symbol/Lookup,34,18,1,18,18,0,1,2934.84,172788.97,re2
