index,Category,%Error
,Lexical,0.71%
,Syntactic,0.00%
,Linker,0.00%
,Abstract-Type Instantiation,0.00%
,Access Control,0.00%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,0.00%
,Deleted/Special Member,0.00%
,Functions/Call Resolution,10.00%
,Operator/Call,17.86%
,Override/Inheritance,0.00%
,Incomplete Type,0.00%
,Symbol/Lookup,20.00%
,Templates/Generics,0.00%
,Type Conversion/Reference Binding,0.00%
,Type Redefinition/Redeclaration,0.00%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,51.43%
