file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_274.cpp,209,33,50,90,11,3,0,6.333333333333333,1.5151515151515151,2.727272727272727
test_10.cpp,483,65,151,264,47,36,0,7.430769230769231,2.3230769230769233,4.061538461538461
test_120.cpp,477,53,118,279,65,19,0,9.0,2.2264150943396226,5.264150943396227
test_91.cpp,279,30,80,213,22,29,0,9.3,2.6666666666666665,7.1
test_270.cpp,162,19,35,43,8,1,0,8.526315789473685,1.8421052631578947,2.263157894736842
test_577.cpp,352,28,88,160,24,7,0,12.571428571428571,3.142857142857143,5.714285714285714
test_279.cpp,157,18,29,77,10,3,0,8.722222222222221,1.6111111111111112,4.277777777777778
test_486.cpp,170,24,30,35,11,2,0,7.083333333333333,1.25,1.4583333333333333
test_231.cpp,308,25,64,175,24,63,0,12.32,2.56,7.0
test_525.cpp,295,30,52,167,27,46,0,9.833333333333334,1.7333333333333334,5.566666666666666
test_113.cpp,524,69,98,281,59,17,0,7.594202898550725,1.4202898550724639,4.072463768115942
test_353.cpp,85,12,24,52,9,2,0,7.083333333333333,2.0,4.333333333333333
test_45.cpp,541,88,155,269,48,40,0,6.1477272727272725,1.7613636363636365,3.0568181818181817
test_363.cpp,108,9,40,82,14,13,0,12.0,4.444444444444445,9.11111111111111
test_222.cpp,162,32,36,83,12,9,0,5.0625,1.125,2.59375
test_388.cpp,213,24,52,141,13,2,0,8.875,2.1666666666666665,5.875
test_450.cpp,133,10,36,95,20,19,0,13.3,3.6,9.5
test_451.cpp,118,13,51,118,11,17,0,9.076923076923077,3.923076923076923,9.076923076923077
test_64.cpp,268,24,68,166,38,40,0,11.166666666666666,2.8333333333333335,6.916666666666667
test_22.cpp,365,64,99,275,43,31,0,5.703125,1.546875,4.296875
test_223.cpp,266,32,49,153,14,20,0,8.3125,1.53125,4.78125
test_396.cpp,236,31,86,144,27,12,0,7.612903225806452,2.774193548387097,4.645161290322581
test_134.cpp,82,10,14,50,8,3,0,8.2,1.4,5.0
test_180.cpp,95,17,26,52,12,2,0,5.588235294117647,1.5294117647058822,3.0588235294117645
test_133.cpp,77,12,16,37,8,2,0,6.416666666666667,1.3333333333333333,3.0833333333333335
test_470.cpp,379,30,49,144,28,70,0,12.633333333333333,1.6333333333333333,4.8
test_459.cpp,226,26,40,125,26,35,0,8.692307692307692,1.5384615384615385,4.8076923076923075
test_325.cpp,337,29,97,234,30,12,0,11.620689655172415,3.3448275862068964,8.068965517241379
test_235.cpp,296,28,76,211,28,39,0,10.571428571428571,2.7142857142857144,7.535714285714286
test_218.cpp,224,26,48,131,9,51,0,8.615384615384615,1.8461538461538463,5.038461538461538
test_169.cpp,84,11,11,5,7,2,0,7.636363636363637,1.0,0.45454545454545453
test_168.cpp,90,11,10,4,6,1,0,8.181818181818182,0.9090909090909091,0.36363636363636365
test_439.cpp,103,10,35,83,12,16,0,10.3,3.5,8.3
test_448.cpp,244,28,86,210,34,43,0,8.714285714285714,3.0714285714285716,7.5
test_5.cpp,506,79,150,271,50,49,0,6.405063291139241,1.8987341772151898,3.430379746835443
test_565.cpp,273,35,80,182,15,17,0,7.8,2.2857142857142856,5.2
test_399.cpp,134,14,35,89,19,4,0,9.571428571428571,2.5,6.357142857142857
test_423.cpp,334,33,70,185,15,36,0,10.121212121212121,2.121212121212121,5.606060606060606
test_456.cpp,284,27,67,142,23,13,0,10.518518518518519,2.4814814814814814,5.2592592592592595
test_526.cpp,154,19,38,78,11,9,0,8.105263157894736,2.0,4.105263157894737
test_437.cpp,93,12,41,97,11,14,0,7.75,3.4166666666666665,8.083333333333334
test_245.cpp,200,25,53,136,22,36,0,8.0,2.12,5.44
test_542.cpp,323,36,66,185,26,32,0,8.972222222222221,1.8333333333333333,5.138888888888889
test_67.cpp,119,15,28,35,10,3,0,7.933333333333334,1.8666666666666667,2.3333333333333335
test_445.cpp,92,10,36,89,15,13,0,9.2,3.6,8.9
test_538.cpp,107,10,11,46,12,15,0,10.7,1.1,4.6
test_328.cpp,220,20,61,147,15,5,0,11.0,3.05,7.35
test_13.cpp,332,65,86,234,38,27,0,5.107692307692307,1.323076923076923,3.6
test_47.cpp,101,15,27,50,13,5,0,6.733333333333333,1.8,3.3333333333333335
test_553.cpp,192,18,42,111,21,26,0,10.666666666666666,2.3333333333333335,6.166666666666667
test_594.cpp,332,28,67,198,25,71,0,11.857142857142858,2.392857142857143,7.071428571428571
test_219.cpp,207,26,53,141,13,25,0,7.961538461538462,2.0384615384615383,5.423076923076923
test_536.cpp,248,30,24,119,19,13,0,8.266666666666667,0.8,3.966666666666667
test_332.cpp,86,9,16,49,15,11,0,9.555555555555555,1.7777777777777777,5.444444444444445
test_432.cpp,415,30,81,178,29,16,0,13.833333333333334,2.7,5.933333333333334
test_115.cpp,270,41,70,155,43,6,0,6.585365853658536,1.7073170731707317,3.7804878048780486
test_376.cpp,294,27,136,324,21,9,0,10.88888888888889,5.037037037037037,12.0
test_14.cpp,463,79,122,311,46,87,0,5.860759493670886,1.5443037974683544,3.9367088607594938
test_520.cpp,193,23,71,167,14,7,0,8.391304347826088,3.0869565217391304,7.260869565217392
test_378.cpp,240,10,101,235,18,5,0,24.0,10.1,23.5
test_466.cpp,334,31,42,190,32,21,0,10.774193548387096,1.3548387096774193,6.129032258064516
test_20.cpp,388,63,113,275,44,68,0,6.158730158730159,1.7936507936507937,4.365079365079365
test_254.cpp,404,53,123,206,37,41,0,7.622641509433962,2.3207547169811322,3.8867924528301887
test_418.cpp,252,33,57,154,41,4,0,7.636363636363637,1.7272727272727273,4.666666666666667
test_212.cpp,344,24,50,153,28,49,0,14.333333333333334,2.0833333333333335,6.375
test_123.cpp,485,49,117,298,62,29,0,9.89795918367347,2.3877551020408165,6.081632653061225
test_259.cpp,226,42,44,80,16,4,0,5.380952380952381,1.0476190476190477,1.9047619047619047
test_12.cpp,442,75,140,327,60,40,0,5.8933333333333335,1.8666666666666667,4.36
test_514.cpp,129,19,44,101,12,5,0,6.7894736842105265,2.3157894736842106,5.315789473684211
test_398.cpp,442,51,124,313,57,21,0,8.666666666666666,2.4313725490196076,6.137254901960785
test_489.cpp,285,27,65,139,24,39,0,10.555555555555555,2.4074074074074074,5.148148148148148
test_531.cpp,311,42,83,191,12,5,0,7.404761904761905,1.9761904761904763,4.5476190476190474
test_374.cpp,244,29,75,200,28,6,0,8.413793103448276,2.586206896551724,6.896551724137931
test_422.cpp,363,36,84,243,17,8,0,10.083333333333334,2.3333333333333335,6.75
test_126.cpp,458,62,106,270,59,9,0,7.387096774193548,1.7096774193548387,4.354838709677419
test_178.cpp,113,19,24,50,12,7,0,5.947368421052632,1.263157894736842,2.6315789473684212
test_379.cpp,193,13,88,210,12,16,0,14.846153846153847,6.769230769230769,16.153846153846153
test_96.cpp,257,29,78,193,22,28,0,8.862068965517242,2.689655172413793,6.655172413793103
test_441.cpp,100,13,22,67,16,17,0,7.6923076923076925,1.6923076923076923,5.153846153846154
test_253.cpp,530,76,170,354,59,59,0,6.973684210526316,2.236842105263158,4.657894736842105
test_146.cpp,234,15,85,176,22,24,0,15.6,5.666666666666667,11.733333333333333
test_564.cpp,175,24,64,89,17,10,0,7.291666666666667,2.6666666666666665,3.7083333333333335
test_43.cpp,522,87,154,270,46,42,0,6.0,1.7701149425287357,3.103448275862069
test_58.cpp,207,19,63,144,18,23,0,10.894736842105264,3.3157894736842106,7.578947368421052
test_416.cpp,263,17,29,166,25,16,0,15.470588235294118,1.7058823529411764,9.764705882352942
test_122.cpp,453,53,110,279,61,9,0,8.547169811320755,2.0754716981132075,5.264150943396227
test_475.cpp,324,22,35,123,26,55,0,14.727272727272727,1.5909090909090908,5.590909090909091
test_221.cpp,225,28,53,144,10,17,0,8.035714285714286,1.8928571428571428,5.142857142857143
test_333.cpp,190,24,47,120,15,26,0,7.916666666666667,1.9583333333333333,5.0
test_361.cpp,215,19,61,99,19,28,0,11.31578947368421,3.210526315789474,5.2105263157894735
test_567.cpp,259,19,53,146,25,26,0,13.631578947368421,2.789473684210526,7.684210526315789
test_563.cpp,234,23,46,133,32,37,0,10.173913043478262,2.0,5.782608695652174
test_42.cpp,155,20,31,72,18,24,0,7.75,1.55,3.6
test_147.cpp,282,15,75,195,26,20,0,18.8,5.0,13.0
test_473.cpp,357,27,43,127,30,61,0,13.222222222222221,1.5925925925925926,4.703703703703703
test_278.cpp,172,18,19,49,11,2,0,9.555555555555555,1.0555555555555556,2.7222222222222223
test_181.cpp,99,16,25,52,13,5,0,6.1875,1.5625,3.25
test_48.cpp,121,16,29,60,17,5,0,7.5625,1.8125,3.75
test_16.cpp,265,27,94,221,39,39,0,9.814814814814815,3.4814814814814814,8.185185185185185
test_368.cpp,233,15,50,103,14,17,0,15.533333333333333,3.3333333333333335,6.866666666666666
test_580.cpp,342,26,79,175,26,8,0,13.153846153846153,3.0384615384615383,6.730769230769231
