index,Category,#Error
,Lexical,20
,Syntactic,11
,Linker,979
,Abstract-Type Instantiation,0
,Access Control,243
,Constexpr/Enum/Assert/Literal,21
,Construction/Initialization,6
,Deleted/Special Member,1
,Functions/Call Resolution,0
,Operator/Call,0
,Override/Inheritance,5
,Incomplete Type,151
,Symbol/Lookup,638
,Templates/Generics,2
,Type Conversion/Reference Binding,7
,Type Redefinition/Redeclaration,0
,Qualifier/Specifier Misuse,0
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,0
