index,Category,%Error
,Lexical,0.96%
,Syntactic,0.53%
,Linker,46.98%
,Abstract-Type Instantiation,0.00%
,Access Control,11.66%
,Constexpr/Enum/Assert/Literal,1.01%
,Construction/Initialization,0.29%
,Deleted/Special Member,0.05%
,Functions/Call Resolution,0.00%
,Operator/Call,0.00%
,Override/Inheritance,0.24%
,Incomplete Type,7.25%
,Symbol/Lookup,30.61%
,Templates/Generics,0.10%
,Type Conversion/Reference Binding,0.34%
,Type Redefinition/Redeclaration,0.00%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.00%
