Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
db/builder.cc                            36                 7    80.56%           1                 0   100.00%          51                 4    92.16%          24                 9    62.50%
db/c.cc                                 139                13    90.65%          86                 4    95.35%         339                18    94.69%          32                 4    87.50%
db/db_impl.cc                           858               407    52.56%          52                12    76.92%        1185               419    64.64%         522               272    47.89%
db/db_impl.h                              6                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
db/db_iter.cc                           190                71    62.63%          18                 0   100.00%         198                45    77.27%          87                34    60.92%
db/dbformat.cc                           81                35    56.79%          12                 0   100.00%          95                 6    93.68%          34                12    64.71%
db/dbformat.h                            48                13    72.92%          20                 3    85.00%          49                 8    83.67%           8                 2    75.00%
db/dumpfile.cc                           56                33    41.07%          11                 5    54.55%         169               115    31.95%          38                22    42.11%
db/filename.cc                          106                30    71.70%          12                 0   100.00%          95                 0   100.00%          44                 6    86.36%
db/log_reader.cc                        109                25    77.06%           9                 0   100.00%         189                49    74.07%          76                25    67.11%
db/log_writer.cc                         76                20    73.68%           6                 0   100.00%          69                 0   100.00%          32                 4    87.50%
db/memtable.cc                           48                10    79.17%          20                 0   100.00%          78                 1    98.72%          14                 3    78.57%
db/memtable.h                            15                 5    66.67%           3                 0   100.00%           9                 0   100.00%           4                 1    75.00%
db/repair.cc                            148                39    73.65%          14                 2    85.71%         323                89    72.45%         100                39    61.00%
db/skiplist.h                           181                55    69.61%          23                 0   100.00%         149                 0   100.00%          69                14    79.71%
db/snapshot.h                            48                25    47.92%           8                 1    87.50%          35                 4    88.57%          12                 6    50.00%
db/table_cache.cc                        42                 6    85.71%           8                 0   100.00%          80                 2    97.50%          20                 2    90.00%
db/version_edit.cc                      104                 0   100.00%           6                 0   100.00%         210                 0   100.00%          94                 5    94.68%
db/version_edit.h                        14                 2    85.71%          11                 2    81.82%          37                 6    83.78%           0                 0         -
db/version_set.cc                       862               500    42.00%          76                39    48.68%        1171               563    51.92%         480               283    41.04%
db/version_set.h                         37                14    62.16%          16                 7    56.25%          33                11    66.67%           8                 5    37.50%
db/write_batch.cc                        58                15    74.14%          18                 0   100.00%          95                 8    91.58%          22                 8    63.64%
db/write_batch_internal.h                 2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
helpers/memenv/memenv.cc                128               128     0.00%          41                41     0.00%         239               239     0.00%          60                60     0.00%
include/leveldb/cache.h                   2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
include/leveldb/db.h                      2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
include/leveldb/env.h                    26                 0   100.00%          25                 0   100.00%          59                 0   100.00%           0                 0         -
include/leveldb/iterator.h               11                 5    54.55%           2                 0   100.00%           5                 0   100.00%           2                 1    50.00%
include/leveldb/options.h                 1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/leveldb/slice.h                  55                10    81.82%          15                 0   100.00%          40                 0   100.00%          20                 2    90.00%
include/leveldb/status.h                 28                 0   100.00%          15                 0   100.00%          38                 0   100.00%           8                 0   100.00%
include/leveldb/table.h                   2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/leveldb/table_builder.h           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
port/port_stdcxx.h                       26                11    57.69%          17                 6    64.71%         118                91    22.88%           2                 1    50.00%
table/block.cc                          192                48    75.00%          21                 1    95.24%         190                14    92.63%          89                19    78.65%
table/block.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
table/block_builder.cc                   66                25    62.12%           5                 0   100.00%          52                 0   100.00%          22                 6    72.73%
table/block_builder.h                     1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
table/filter_block.cc                    51                 8    84.31%           7                 0   100.00%          68                 2    97.06%          24                 5    79.17%
table/format.cc                          78                32    58.97%           5                 0   100.00%         126                46    63.49%          44                17    61.36%
table/format.h                           12                 0   100.00%          10                 0   100.00%          10                 0   100.00%           0                 0         -
table/iterator.cc                        67                43    35.82%          16                 4    75.00%          50                10    80.00%          12                 5    58.33%
table/iterator_wrapper.h                 95                40    57.89%          15                 0   100.00%          57                 0   100.00%          20                 8    60.00%
table/merger.cc                         128                36    71.88%          14                 0   100.00%         125                14    88.80%          62                17    72.58%
table/table.cc                           91                17    81.32%          12                 2    83.33%         193                31    83.94%          68                28    58.82%
table/table_builder.cc                  169                66    60.95%          13                 3    76.92%         181                32    82.32%          78                33    57.69%
table/two_level_iterator.cc             104                25    75.96%          17                 0   100.00%          98                 2    97.96%          52                12    76.92%
util/arena.cc                            32                 6    81.25%           5                 0   100.00%          43                 0   100.00%          11                 1    90.91%
util/arena.h                             14                 5    64.29%           2                 0   100.00%          13                 0   100.00%           4                 1    75.00%
util/bloom.cc                            32                 1    96.88%           6                 0   100.00%          49                 2    95.92%          18                 1    94.44%
util/cache.cc                           211                88    58.29%          36                 2    94.44%         229                34    85.15%          80                34    57.50%
util/coding.cc                           58                 0   100.00%          13                 0   100.00%         130                 0   100.00%          32                 0   100.00%
util/coding.h                            10                 0   100.00%           5                 0   100.00%          46                 0   100.00%           4                 0   100.00%
util/comparator.cc                       31                 5    83.87%           7                 0   100.00%          38                 0   100.00%          16                 2    87.50%
util/crc32c.cc                           92                 1    98.91%           4                 0   100.00%          89                 2    97.75%          34                 1    97.06%
util/crc32c.h                             3                 0   100.00%           3                 0   100.00%           8                 0   100.00%           0                 0         -
