file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_274.cpp,81,9,15,31,9,3,0,9.0,1.6666666666666667,3.4444444444444446
test_10.cpp,228,41,56,145,22,64,0,5.560975609756097,1.3658536585365855,3.5365853658536586
test_100.cpp,398,29,104,352,20,58,0,13.724137931034482,3.586206896551724,12.137931034482758
test_91.cpp,320,19,74,248,30,32,0,16.842105263157894,3.8947368421052633,13.052631578947368
test_270.cpp,102,6,15,39,15,4,0,17.0,2.5,6.5
test_272.cpp,196,11,30,130,31,3,0,17.818181818181817,2.727272727272727,11.818181818181818
test_279.cpp,75,10,11,28,8,3,0,7.5,1.1,2.8
test_486.cpp,260,22,39,189,32,58,12,11.818181818181818,1.7727272727272727,8.590909090909092
test_231.cpp,209,12,60,133,23,5,22,17.416666666666668,5.0,11.083333333333334
test_113.cpp,291,33,66,238,45,4,55,8.818181818181818,2.0,7.212121212121212
test_353.cpp,269,21,62,166,31,22,0,12.80952380952381,2.9523809523809526,7.904761904761905
test_45.cpp,123,19,19,22,6,3,0,6.473684210526316,1.0,1.1578947368421053
test_388.cpp,188,19,36,97,18,22,0,9.894736842105264,1.894736842105263,5.105263157894737
test_450.cpp,172,15,36,100,16,32,0,11.466666666666667,2.4,6.666666666666667
test_451.cpp,326,32,73,247,44,5,51,10.1875,2.28125,7.71875
test_198.cpp,216,22,52,208,21,29,30,9.818181818181818,2.3636363636363638,9.454545454545455
test_64.cpp,304,25,39,238,34,43,0,12.16,1.56,9.52
test_193.cpp,208,12,44,109,28,15,15,17.333333333333332,3.6666666666666665,9.083333333333334
test_22.cpp,294,51,88,261,24,6,0,5.764705882352941,1.7254901960784315,5.117647058823529
test_396.cpp,218,19,41,125,19,24,0,11.473684210526315,2.1578947368421053,6.578947368421052
test_133.cpp,152,12,14,79,29,18,0,12.666666666666666,1.1666666666666667,6.583333333333333
test_470.cpp,241,10,49,243,35,10,56,24.1,4.9,24.3
test_459.cpp,129,14,21,86,19,17,0,9.214285714285714,1.5,6.142857142857143
test_325.cpp,273,15,37,142,39,32,0,18.2,2.466666666666667,9.466666666666667
test_324.cpp,500,27,70,277,55,102,0,18.51851851851852,2.5925925925925926,10.25925925925926
test_360.cpp,225,18,31,153,34,7,0,12.5,1.7222222222222223,8.5
test_201.cpp,256,32,61,173,26,29,0,8.0,1.90625,5.40625
test_295.cpp,362,19,73,278,38,33,0,19.05263157894737,3.8421052631578947,14.631578947368421
test_7.cpp,320,50,85,211,28,75,0,6.4,1.7,4.22
test_235.cpp,90,7,17,59,17,4,16,12.857142857142858,2.4285714285714284,8.428571428571429
test_218.cpp,160,12,39,104,30,4,0,13.333333333333334,3.25,8.666666666666666
test_439.cpp,117,11,36,31,11,5,0,10.636363636363637,3.272727272727273,2.8181818181818183
test_448.cpp,237,18,41,52,13,5,0,13.166666666666666,2.2777777777777777,2.888888888888889
test_5.cpp,244,35,63,166,26,75,0,6.9714285714285715,1.8,4.742857142857143
test_444.cpp,211,12,47,117,22,19,0,17.583333333333332,3.9166666666666665,9.75
test_399.cpp,215,14,41,157,31,38,0,15.357142857142858,2.9285714285714284,11.214285714285714
test_354.cpp,222,18,41,185,32,31,0,12.333333333333334,2.2777777777777777,10.277777777777779
test_456.cpp,229,30,86,232,24,6,0,7.633333333333334,2.8666666666666667,7.733333333333333
test_343.cpp,274,24,52,191,37,40,0,11.416666666666666,2.1666666666666665,7.958333333333333
test_245.cpp,75,8,9,40,10,1,0,9.375,1.125,5.0
test_67.cpp,255,21,35,205,31,44,0,12.142857142857142,1.6666666666666667,9.761904761904763
test_98.cpp,359,28,97,302,23,25,0,12.821428571428571,3.4642857142857144,10.785714285714286
test_445.cpp,105,23,32,42,5,1,0,4.565217391304348,1.391304347826087,1.826086956521739
test_200.cpp,365,29,99,200,42,44,6,12.586206896551724,3.413793103448276,6.896551724137931
test_328.cpp,95,12,24,59,12,3,0,7.916666666666667,2.0,4.916666666666667
test_13.cpp,264,47,64,173,22,77,0,5.617021276595745,1.3617021276595744,3.6808510638297873
test_47.cpp,77,13,13,35,13,18,0,5.923076923076923,1.0,2.6923076923076925
test_219.cpp,117,11,27,78,18,3,0,10.636363636363637,2.4545454545454546,7.090909090909091
test_332.cpp,86,14,16,27,9,2,0,6.142857142857143,1.1428571428571428,1.9285714285714286
test_432.cpp,223,20,53,82,16,2,0,11.15,2.65,4.1
test_115.cpp,306,33,72,235,45,7,52,9.272727272727273,2.1818181818181817,7.121212121212121
test_14.cpp,317,56,96,275,23,9,0,5.660714285714286,1.7142857142857142,4.910714285714286
test_378.cpp,293,25,68,253,31,37,0,11.72,2.72,10.12
test_20.cpp,269,31,113,286,25,13,0,8.67741935483871,3.6451612903225805,9.225806451612904
test_418.cpp,381,12,95,301,53,24,0,31.75,7.916666666666667,25.083333333333332
test_212.cpp,276,20,30,143,39,36,0,13.8,1.5,7.15
test_123.cpp,339,38,82,270,52,5,56,8.921052631578947,2.1578947368421053,7.105263157894737
test_401.cpp,190,17,27,73,28,15,0,11.176470588235293,1.588235294117647,4.294117647058823
test_259.cpp,101,7,12,18,11,2,0,14.428571428571429,1.7142857142857142,2.5714285714285716
test_12.cpp,267,41,57,135,21,71,0,6.512195121951219,1.3902439024390243,3.292682926829268
test_398.cpp,255,18,47,176,26,41,0,14.166666666666666,2.611111111111111,9.777777777777779
test_489.cpp,277,22,97,374,32,38,64,12.590909090909092,4.409090909090909,17.0
test_374.cpp,276,12,32,212,40,43,12,23.0,2.6666666666666665,17.666666666666668
test_41.cpp,180,12,30,117,30,5,0,15.0,2.5,9.75
test_422.cpp,157,8,13,67,21,9,17,19.625,1.625,8.375
test_197.cpp,171,15,29,125,24,12,30,11.4,1.9333333333333333,8.333333333333334
test_96.cpp,313,24,77,264,22,27,0,13.041666666666666,3.2083333333333335,11.0
test_441.cpp,178,19,52,69,14,9,0,9.368421052631579,2.736842105263158,3.6315789473684212
test_189.cpp,143,17,22,132,26,9,0,8.411764705882353,1.2941176470588236,7.764705882352941
test_365.cpp,256,18,49,198,29,18,0,14.222222222222221,2.7222222222222223,11.0
test_253.cpp,125,6,7,41,22,4,0,20.833333333333332,1.1666666666666667,6.833333333333333
test_43.cpp,160,12,32,43,9,9,0,13.333333333333334,2.6666666666666665,3.5833333333333335
test_58.cpp,178,16,31,129,20,35,0,11.125,1.9375,8.0625
test_57.cpp,158,15,27,127,18,17,0,10.533333333333333,1.8,8.466666666666667
test_65.cpp,335,26,43,201,37,55,0,12.884615384615385,1.6538461538461537,7.730769230769231
test_416.cpp,358,15,63,268,38,26,0,23.866666666666667,4.2,17.866666666666667
test_404.cpp,139,16,30,122,25,2,0,8.6875,1.875,7.625
