index,Category,#Error
,Lexical,32
,Syntactic,1
,Linker,101
,Abstract-Type Instantiation,0
,Access Control,106
,Constexpr/Enum/Assert/Literal,0
,Construction/Initialization,18
,Deleted/Special Member,14
,Functions/Call Resolution,20
,Operator/Call,2
,Override/Inheritance,2
,Incomplete Type,105
,Symbol/Lookup,366
,Templates/Generics,0
,Type Conversion/Reference Binding,31
,Type Redefinition/Redeclaration,10
,Qualifier/Specifier Misuse,0
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,1
