index,Category,%Error
,Lexical,3.96%
,Syntactic,0.12%
,Linker,12.48%
,Abstract-Type Instantiation,0.00%
,Access Control,13.10%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,2.22%
,Deleted/Special Member,1.73%
,Functions/Call Resolution,2.47%
,Operator/Call,0.25%
,Override/Inheritance,0.25%
,Incomplete Type,12.98%
,Symbol/Lookup,45.24%
,Templates/Generics,0.00%
,Type Conversion/Reference Binding,3.83%
,Type Redefinition/Redeclaration,1.24%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.12%
