file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_274.cpp,87,14,17,29,9,4,0,6.214285714285714,1.2142857142857142,2.0714285714285716
test_10.cpp,297,49,73,146,25,72,0,6.061224489795919,1.489795918367347,2.979591836734694
test_120.cpp,61,6,6,10,6,3,0,10.166666666666666,1.0,1.6666666666666667
test_100.cpp,291,53,62,176,16,4,0,5.490566037735849,1.169811320754717,3.3207547169811322
test_91.cpp,322,59,80,215,18,8,0,5.4576271186440675,1.3559322033898304,3.6440677966101696
test_270.cpp,201,39,41,79,11,4,0,5.153846153846154,1.0512820512820513,2.0256410256410255
test_272.cpp,249,50,52,118,10,4,0,4.98,1.04,2.36
test_676.cpp,141,18,22,56,10,18,0,7.833333333333333,1.2222222222222223,3.111111111111111
test_817.cpp,101,20,24,37,11,3,0,5.05,1.2,1.85
test_279.cpp,223,40,58,155,18,6,0,5.575,1.45,3.875
test_1049.cpp,185,38,38,116,16,37,0,4.868421052631579,1.0,3.0526315789473686
test_76.cpp,148,17,17,62,24,15,0,8.705882352941176,1.0,3.6470588235294117
test_486.cpp,92,10,13,42,23,4,0,9.2,1.3,4.2
test_936.cpp,212,20,98,180,11,2,0,10.6,4.9,9.0
test_231.cpp,217,37,41,88,10,48,0,5.864864864864865,1.1081081081081081,2.3783783783783785
test_981.cpp,157,24,25,61,15,4,0,6.541666666666667,1.0416666666666667,2.5416666666666665
test_525.cpp,136,19,22,106,14,7,0,7.157894736842105,1.1578947368421053,5.578947368421052
test_153.cpp,85,9,9,12,5,4,0,9.444444444444445,1.0,1.3333333333333333
test_663.cpp,104,17,21,63,9,21,0,6.117647058823529,1.2352941176470589,3.7058823529411766
test_353.cpp,232,18,53,142,17,3,0,12.88888888888889,2.9444444444444446,7.888888888888889
test_45.cpp,204,20,36,110,22,4,0,10.2,1.8,5.5
test_675.cpp,105,13,24,50,10,5,0,8.076923076923077,1.8461538461538463,3.8461538461538463
test_77.cpp,109,13,14,46,9,3,0,8.384615384615385,1.0769230769230769,3.5384615384615383
test_589.cpp,109,19,20,24,5,1,0,5.7368421052631575,1.0526315789473684,1.263157894736842
test_681.cpp,262,45,59,134,21,76,0,5.822222222222222,1.3111111111111111,2.977777777777778
