index,Category,#Error
,Lexical,114
,Syntactic,50
,Linker,46
,Abstract-Type Instantiation,225
,Access Control,122
,Constexpr/Enum/Assert/Literal,31
,Construction/Initialization,575
,Deleted/Special Member,15
,Functions/Call Resolution,101
,Operator/Call,103
,Override/Inheritance,185
,Incomplete Type,315
,Symbol/Lookup,1254
,Templates/Generics,41
,Type Conversion/Reference Binding,411
,Type Redefinition/Redeclaration,1
,Qualifier/Specifier Misuse,8
,Pointer/Reference Misuse,8
,This/Non-Static Member/Using Misuse,16
