index,Category,%Error
,Lexical,3.15%
,Syntactic,1.38%
,Linker,1.27%
,Abstract-Type Instantiation,6.21%
,Access Control,3.37%
,Constexpr/Enum/Assert/Literal,0.86%
,Construction/Initialization,15.88%
,Deleted/Special Member,0.41%
,Functions/Call Resolution,2.79%
,Operator/Call,2.84%
,Override/Inheritance,5.11%
,Incomplete Type,8.70%
,Symbol/Lookup,34.63%
,Templates/Generics,1.13%
,Type Conversion/Reference Binding,11.35%
,Type Redefinition/Redeclaration,0.03%
,Qualifier/Specifier Misuse,0.22%
,Pointer/Reference Misuse,0.22%
,This/Non-Static Member/Using Misuse,0.44%
