Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
controllers/global_mapper.cc                    252               252     0.00%           1                 1     0.00%         247               247     0.00%          56                56     0.00%
controllers/global_mapper.h                       1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/option_manager.cc                    92                10    89.13%          20                 0   100.00%         287                 2    99.30%          30                 0   100.00%
controllers/option_manager.h                     26                15    42.31%           3                 0   100.00%          26                 4    84.62%           4                 0   100.00%
controllers/rotation_averager.cc                106               106     0.00%           1                 1     0.00%         145               145     0.00%          72                72     0.00%
controllers/rotation_averager.h                   2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/track_establishment.cc               90                90     0.00%           4                 4     0.00%         150               150     0.00%          68                68     0.00%
controllers/track_establishment.h                 4                 4     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/track_retriangulation.cc             18                18     0.00%           1                 1     0.00%          88                88     0.00%          18                18     0.00%
estimators/bundle_adjustment.cc                 177               177     0.00%           5                 5     0.00%         198               198     0.00%         100               100     0.00%
estimators/bundle_adjustment.h                    6                 3    50.00%           4                 2    50.00%           9                 2    77.78%           0                 0         -
estimators/cost_function.h                       41                 0   100.00%          20                 0   100.00%         174                 0   100.00%          10                 0   100.00%
estimators/global_positioning.cc                429               429     0.00%          12                12     0.00%         373               373     0.00%         192               192     0.00%
estimators/global_positioning.h                   4                 2    50.00%           3                 2    33.33%           7                 4    42.86%           0                 0         -
estimators/global_rotation_averaging.cc         534               534     0.00%          10                10     0.00%         587               587     0.00%         298               298     0.00%
estimators/global_rotation_averaging.h            1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
estimators/gravity_refinement.cc                101               101     0.00%           2                 2     0.00%         130               130     0.00%          54                54     0.00%
estimators/gravity_refinement.h                   4                 1    75.00%           3                 1    66.67%           6                 1    83.33%           0                 0         -
estimators/optimization_base.h                    1                 0   100.00%           1                 0   100.00%           6                 0   100.00%           0                 0         -
estimators/relpose_estimation.cc                 61                61     0.00%           2                 2     0.00%         158               158     0.00%          20                20     0.00%
estimators/relpose_estimation.h                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
estimators/rotation_initializer.cc               53                53     0.00%           1                 1     0.00%          88                88     0.00%          46                46     0.00%
estimators/view_graph_calibration.cc            155               148     4.52%           7                 6    14.29%         117               104    11.11%          46                40    13.04%
estimators/view_graph_calibration.h               5                 2    60.00%           3                 1    66.67%           7                 1    85.71%           0                 0         -
io/colmap_converter.cc                          187               183     2.14%           7                 5    28.57%         325               301     7.38%         168               164     2.38%
io/colmap_io.cc                                  65                65     0.00%           2                 2     0.00%          55                55     0.00%          24                24     0.00%
io/pose_io.cc                                   110                60    45.45%           5                 3    40.00%         162                77    52.47%          60                35    41.67%
math/gravity.cc                                  29                 2    93.10%           5                 1    80.00%          64                 7    89.06%          18                 1    94.44%
math/rigid3d.cc                                  18                 8    55.56%          10                 5    50.00%          48                16    66.67%           2                 0   100.00%
math/tree.cc                                     43                31    27.91%           2                 1    50.00%          91                57    37.36%          36                26    27.78%
math/two_view_geometry.cc                        13                 9    30.77%           7                 3    57.14%          52                23    55.77%          10                10     0.00%
processors/image_pair_inliers.cc                 88                88     0.00%           5                 5     0.00%         154               154     0.00%          68                68     0.00%
processors/image_pair_inliers.h                   1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
processors/image_undistorter.cc                  35                35     0.00%           2                 2     0.00%          42                42     0.00%          14                14     0.00%
processors/reconstruction_normalizer.cc          27                27     0.00%           1                 1     0.00%          58                58     0.00%          26                26     0.00%
processors/reconstruction_pruning.cc             66                66     0.00%           1                 1     0.00%          94                94     0.00%          40                40     0.00%
processors/relpose_filter.cc                     80                80     0.00%           3                 3     0.00%          41                41     0.00%          22                22     0.00%
processors/track_filter.cc                       99                99     0.00%           3                 3     0.00%          92                92     0.00%          36                36     0.00%
processors/view_graph_manipulation.cc           196               189     3.57%           5                 4    20.00%         244               226     7.38%         136               129     5.15%
scene/camera.h                                    7                 7     0.00%           7                 7     0.00%          21                21     0.00%           0                 0         -
scene/frame.h                                     7                 1    85.71%           6                 1    83.33%          10                 1    90.00%           0                 0         -
scene/image.h                                    27                 7    74.07%          10                 4    60.00%          42                27    35.71%          12                 5    58.33%
scene/image_pair.h                                6                 1    83.33%           2                 1    50.00%           5                 1    80.00%           0                 0         -
scene/view_graph.cc                              50                15    70.00%           6                 1    83.33%         107                24    77.57%          50                17    66.00%
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                          3318              2984    10.07%         198               109    44.95%        4516              3604    20.19%        1736              1581     8.93%
