file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_10.cpp,154,7,6,47,17,13,0,22.0,0.8571428571428571,6.714285714285714
test_120.cpp,297,13,40,204,44,36,0,22.846153846153847,3.076923076923077,15.692307692307692
test_100.cpp,313,11,18,198,42,45,0,28.454545454545453,1.6363636363636365,18.0
test_76.cpp,156,14,14,75,17,43,0,11.142857142857142,1.0,5.357142857142857
test_113.cpp,91,8,12,37,12,14,0,11.375,1.5,4.625
test_153.cpp,264,8,6,37,14,29,0,33.0,0.75,4.625
test_45.cpp,120,14,41,49,19,6,0,8.571428571428571,2.9285714285714284,3.5
test_77.cpp,340,13,17,235,49,76,0,26.153846153846153,1.3076923076923077,18.076923076923077
test_22.cpp,353,10,25,196,36,54,0,35.3,2.5,19.6
test_160.cpp,319,11,22,163,37,44,0,29.0,2.0,14.818181818181818
test_7.cpp,179,15,30,125,19,36,0,11.933333333333334,2.0,8.333333333333334
test_5.cpp,236,13,49,102,24,7,0,18.153846153846153,3.769230769230769,7.846153846153846
test_154.cpp,283,12,24,116,25,36,0,23.583333333333332,2.0,9.666666666666666
test_98.cpp,152,9,16,44,14,24,0,16.88888888888889,1.7777777777777777,4.888888888888889
test_47.cpp,248,36,77,124,32,4,0,6.888888888888889,2.138888888888889,3.4444444444444446
test_115.cpp,259,16,42,75,15,36,0,16.1875,2.625,4.6875
test_158.cpp,249,14,14,102,21,25,0,17.785714285714285,1.0,7.285714285714286
test_155.cpp,280,13,27,193,35,39,0,21.53846153846154,2.076923076923077,14.846153846153847
test_81.cpp,147,11,16,54,14,15,0,13.363636363636363,1.4545454545454546,4.909090909090909
test_20.cpp,220,11,12,86,16,21,0,20.0,1.0909090909090908,7.818181818181818
test_123.cpp,179,13,44,118,32,30,0,13.76923076923077,3.3846153846153846,9.076923076923077
test_101.cpp,385,22,39,232,30,66,0,17.5,1.7727272727272727,10.545454545454545
test_156.cpp,279,13,27,153,25,27,0,21.46153846153846,2.076923076923077,11.76923076923077
test_43.cpp,171,23,52,91,27,5,0,7.434782608695652,2.260869565217391,3.9565217391304346
test_58.cpp,187,16,41,74,34,29,0,11.6875,2.5625,4.625
test_57.cpp,192,11,11,87,21,9,0,17.454545454545453,1.0,7.909090909090909
test_65.cpp,345,18,21,211,31,60,0,19.166666666666668,1.1666666666666667,11.722222222222221
test_122.cpp,526,16,60,424,52,89,0,32.875,3.75,26.5
test_85.cpp,338,15,30,146,34,52,0,22.533333333333335,2.0,9.733333333333333
test_135.cpp,223,17,18,163,24,60,0,13.117647058823529,1.0588235294117647,9.588235294117647
test_48.cpp,161,20,46,66,16,5,0,8.05,2.3,3.3
test_86.cpp,250,14,29,168,26,10,0,17.857142857142858,2.0714285714285716,12.0
test_94.cpp,276,17,46,146,27,10,0,16.235294117647058,2.7058823529411766,8.588235294117647
test_116.cpp,216,10,12,40,22,27,0,21.6,1.2,4.0
test_143.cpp,167,18,22,176,29,44,0,9.277777777777779,1.2222222222222223,9.777777777777779
test_104.cpp,362,17,25,115,26,40,0,21.294117647058822,1.4705882352941178,6.764705882352941
test_149.cpp,317,13,18,147,25,50,0,24.384615384615383,1.3846153846153846,11.307692307692308
test_84.cpp,282,12,23,135,31,52,0,23.5,1.9166666666666667,11.25
test_107.cpp,375,17,14,82,23,52,0,22.058823529411764,0.8235294117647058,4.823529411764706
test_159.cpp,249,10,12,93,18,25,0,24.9,1.2,9.3
test_165.cpp,141,29,32,31,10,6,0,4.862068965517241,1.103448275862069,1.0689655172413792
test_109.cpp,272,9,6,45,17,53,0,30.22222222222222,0.6666666666666666,5.0
test_87.cpp,233,12,15,55,21,11,0,19.416666666666668,1.25,4.583333333333333
test_46.cpp,270,45,67,126,34,2,0,6.0,1.488888888888889,2.8
test_102.cpp,330,12,16,142,43,38,0,27.5,1.3333333333333333,11.833333333333334
test_61.cpp,267,12,34,138,25,23,0,22.25,2.8333333333333335,11.5
test_93.cpp,307,11,29,93,27,39,0,27.90909090909091,2.6363636363636362,8.454545454545455
test_130.cpp,308,13,34,148,22,36,0,23.692307692307693,2.6153846153846154,11.384615384615385
test_106.cpp,304,12,2,121,31,45,0,25.333333333333332,0.16666666666666666,10.083333333333334
test_119.cpp,549,18,39,257,36,63,0,30.5,2.1666666666666665,14.277777777777779
