file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_91.cpp,247,14,63,394,26,51,0,17.642857142857142,4.5,28.142857142857142
test_64.cpp,157,20,22,96,13,41,0,7.85,1.1,4.8
test_138.cpp,166,10,11,56,16,32,0,16.6,1.1,5.6
test_134.cpp,133,17,18,87,13,35,0,7.823529411764706,1.0588235294117647,5.117647058823529
test_133.cpp,169,16,35,159,15,6,0,10.5625,2.1875,9.9375
test_168.cpp,240,16,29,99,31,21,0,15.0,1.8125,6.1875
test_67.cpp,196,12,12,62,15,35,0,16.333333333333332,1.0,5.166666666666667
test_13.cpp,279,16,50,114,18,49,0,17.4375,3.125,7.125
test_14.cpp,245,13,37,107,26,41,0,18.846153846153847,2.8461538461538463,8.23076923076923
test_71.cpp,154,16,17,112,19,24,0,9.625,1.0625,7.0
test_12.cpp,225,15,46,96,18,35,0,15.0,3.066666666666667,6.4
test_41.cpp,241,48,62,136,29,4,0,5.020833333333333,1.2916666666666667,2.8333333333333335
test_136.cpp,224,15,16,53,12,10,0,14.933333333333334,1.0666666666666667,3.533333333333333
test_126.cpp,237,13,24,141,32,32,0,18.23076923076923,1.8461538461538463,10.846153846153847
test_96.cpp,228,14,50,153,19,22,0,16.285714285714285,3.5714285714285716,10.928571428571429
test_146.cpp,142,12,27,136,24,9,0,11.833333333333334,2.25,11.333333333333334
test_162.cpp,114,17,23,27,4,19,0,6.705882352941177,1.3529411764705883,1.588235294117647
test_42.cpp,337,50,79,221,31,51,0,6.74,1.58,4.42
test_147.cpp,198,16,29,143,27,20,0,12.375,1.8125,8.9375
test_16.cpp,197,13,33,86,21,12,0,15.153846153846153,2.5384615384615383,6.615384615384615
test_11.cpp,146,16,26,64,13,10,0,9.125,1.625,4.0
test_161.cpp,152,29,32,23,7,4,0,5.241379310344827,1.103448275862069,0.7931034482758621
test_68.cpp,185,17,20,102,18,42,0,10.882352941176471,1.1764705882352942,6.0
test_69.cpp,145,11,11,119,24,8,0,13.181818181818182,1.0,10.818181818181818
test_62.cpp,162,18,46,215,21,21,0,9.0,2.5555555555555554,11.944444444444445
test_39.cpp,312,48,84,219,31,50,0,6.5,1.75,4.5625
test_164.cpp,134,12,12,50,13,35,0,11.166666666666666,1.0,4.166666666666667
test_33.cpp,292,43,67,184,33,45,0,6.790697674418604,1.558139534883721,4.27906976744186
test_51.cpp,318,44,64,211,44,65,0,7.2272727272727275,1.4545454545454546,4.795454545454546
test_92.cpp,209,15,29,75,17,13,0,13.933333333333334,1.9333333333333333,5.0
test_21.cpp,217,12,13,44,22,18,0,18.083333333333332,1.0833333333333333,3.6666666666666665
test_23.cpp,170,12,37,94,15,12,0,14.166666666666666,3.0833333333333335,7.833333333333333
test_15.cpp,212,13,51,323,18,48,0,16.307692307692307,3.923076923076923,24.846153846153847
test_131.cpp,162,15,45,171,16,18,0,10.8,3.0,11.4
test_118.cpp,166,15,30,101,24,38,0,11.066666666666666,2.0,6.733333333333333
test_124.cpp,231,15,40,138,33,24,0,15.4,2.6666666666666665,9.2
test_73.cpp,159,13,24,136,19,8,0,12.23076923076923,1.8461538461538463,10.461538461538462
test_9.cpp,174,20,41,66,16,13,0,8.7,2.05,3.3
test_60.cpp,300,18,86,41,12,2,0,16.666666666666668,4.777777777777778,2.2777777777777777
test_34.cpp,313,54,77,157,33,5,0,5.796296296296297,1.4259259259259258,2.9074074074074074
test_19.cpp,203,15,53,105,21,35,0,13.533333333333333,3.533333333333333,7.0
test_166.cpp,265,39,61,151,35,41,0,6.794871794871795,1.564102564102564,3.871794871794872
test_90.cpp,132,17,29,109,23,19,0,7.764705882352941,1.7058823529411764,6.411764705882353
test_3.cpp,185,17,24,82,23,40,0,10.882352941176471,1.411764705882353,4.823529411764706
test_132.cpp,108,11,11,64,16,15,0,9.818181818181818,1.0,5.818181818181818
test_74.cpp,186,15,35,146,24,18,0,12.4,2.3333333333333335,9.733333333333333
test_37.cpp,261,40,60,170,34,47,0,6.525,1.5,4.25
test_49.cpp,252,42,69,147,30,7,0,6.0,1.6428571428571428,3.5
test_18.cpp,216,13,37,105,22,40,0,16.615384615384617,2.8461538461538463,8.076923076923077
test_2.cpp,137,18,25,27,12,26,0,7.611111111111111,1.3888888888888888,1.5
test_121.cpp,224,13,74,176,27,35,0,17.23076923076923,5.6923076923076925,13.538461538461538
test_89.cpp,214,16,34,81,15,7,0,13.375,2.125,5.0625
test_167.cpp,238,20,26,83,29,44,0,11.9,1.3,4.15
