index,Category,#Error
,Lexical,3
,Syntactic,5
,Linker,57
,Abstract-Type Instantiation,3
,Access Control,27
,Constexpr/Enum/Assert/Literal,0
,Construction/Initialization,20
,Deleted/Special Member,475
,Functions/Call Resolution,12
,Operator/Call,93
,Override/Inheritance,0
,Incomplete Type,153
,Symbol/Lookup,441
,Templates/Generics,0
,Type Conversion/Reference Binding,55
,Type Redefinition/Redeclaration,31
,Qualifier/Specifier Misuse,0
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,0
