index,Category,%Error
,Lexical,0.22%
,Syntactic,0.36%
,Linker,4.15%
,Abstract-Type Instantiation,0.22%
,Access Control,1.96%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,1.45%
,Deleted/Special Member,34.55%
,Functions/Call Resolution,0.87%
,Operator/Call,6.76%
,Override/Inheritance,0.00%
,Incomplete Type,11.13%
,Symbol/Lookup,32.07%
,Templates/Generics,0.00%
,Type Conversion/Reference Binding,4.00%
,Type Redefinition/Redeclaration,2.25%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.00%
