Filename                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
browse.cc                          26                26     0.00%           1                 1     0.00%          47                47     0.00%          15                15     0.00%
build.cc                          636               636     0.00%          37                37     0.00%         715               715     0.00%         418               418     0.00%
build.h                            12                10    16.67%          10                 8    20.00%          14                12    14.29%           4                 4     0.00%
build_log.cc                      203               194     4.43%          16                13    18.75%         276               270     2.17%         110               110     0.00%
build_log.h                         1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
clean.cc                          183               183     0.00%          21                21     0.00%         228               228     0.00%          94                94     0.00%
clean.h                             6                 6     0.00%           2                 2     0.00%           7                 7     0.00%           6                 6     0.00%
clparser.cc                        63                10    84.13%           5                 0   100.00%          64                 2    96.88%          52                16    69.23%
command_collector.h                21                21     0.00%           1                 1     0.00%          12                12     0.00%          14                14     0.00%
depfile_parser.cc                 221               221     0.00%           2                 2     0.00%         292               292     0.00%         142               142     0.00%
depfile_parser.h                    1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
deps_log.cc                       287                78    72.82%          13                 0   100.00%         308                88    71.43%         187                75    59.89%
deps_log.h                          9                 0   100.00%           4                 0   100.00%           4                 0   100.00%           0                 0         -
disk_interface.cc                  87                69    20.69%          10                 7    30.00%         104                89    14.42%          46                38    17.39%
disk_interface.h                    2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
dyndep.cc                          29                29     0.00%           4                 4     0.00%          63                63     0.00%          22                22     0.00%
dyndep.h                            7                 7     0.00%           2                 2     0.00%           3                 3     0.00%           0                 0         -
dyndep_parser.cc                  129               129     0.00%           5                 5     0.00%         163               163     0.00%          92                92     0.00%
dyndep_parser.h                     1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
edit_distance.cc                   24                 4    83.33%           1                 0   100.00%          30                 6    80.00%          16                 4    75.00%
elide_middle.cc                    91                11    87.91%          17                 2    88.24%         109                10    90.83%          54                12    77.78%
eval_env.cc                       117                19    83.76%          17                 2    88.24%         134                20    85.07%          76                15    80.26%
eval_env.h                         13                 0   100.00%           8                 0   100.00%           8                 0   100.00%           4                 0   100.00%
explanations.h                     13                 0   100.00%           4                 0   100.00%          20                 0   100.00%           6                 0   100.00%
graph.cc                          411               371     9.73%          34                23    32.35%         516               461    10.66%         299               280     6.35%
graph.h                            62                18    70.97%          42                 8    80.95%          91                21    76.92%           8                 0   100.00%
graphviz.cc                        34                34     0.00%           3                 3     0.00%          52                52     0.00%          24                24     0.00%
graphviz.h                          2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
hash_map.h                          1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
