file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_120.cpp,108,8,17,49,15,2,0,13.5,2.125,6.125
test_100.cpp,225,20,38,120,20,25,0,11.25,1.9,6.0
test_91.cpp,105,10,5,32,21,22,0,10.5,0.5,3.2
test_76.cpp,155,18,32,93,17,29,0,8.61111111111111,1.7777777777777777,5.166666666666667
test_77.cpp,145,18,28,73,16,32,0,8.055555555555555,1.5555555555555556,4.055555555555555
test_64.cpp,63,6,9,25,14,15,0,10.5,1.5,4.166666666666667
test_134.cpp,157,17,49,39,6,6,0,9.235294117647058,2.8823529411764706,2.2941176470588234
test_67.cpp,218,15,27,84,23,36,0,14.533333333333333,1.8,5.6
test_98.cpp,184,17,36,109,22,23,0,10.823529411764707,2.1176470588235294,6.411764705882353
test_47.cpp,273,40,70,189,42,49,0,6.825,1.75,4.725
test_155.cpp,79,9,8,23,15,2,0,8.777777777777779,0.8888888888888888,2.5555555555555554
test_123.cpp,112,12,15,55,20,6,6,9.333333333333334,1.25,4.583333333333333
test_101.cpp,202,22,47,131,21,27,0,9.181818181818182,2.1363636363636362,5.954545454545454
test_41.cpp,251,37,54,146,43,29,0,6.783783783783784,1.4594594594594594,3.945945945945946
test_96.cpp,214,22,37,120,20,27,0,9.727272727272727,1.6818181818181819,5.454545454545454
test_162.cpp,220,18,21,86,37,50,0,12.222222222222221,1.1666666666666667,4.777777777777778
test_43.cpp,252,38,54,138,43,22,0,6.631578947368421,1.4210526315789473,3.6315789473684212
test_57.cpp,152,20,29,80,25,19,0,7.6,1.45,4.0
test_65.cpp,112,10,17,44,12,28,0,11.2,1.7,4.4
test_122.cpp,96,15,15,20,7,2,0,6.4,1.0,1.3333333333333333
test_42.cpp,296,43,67,193,43,54,0,6.883720930232558,1.558139534883721,4.488372093023256
test_48.cpp,240,36,46,138,33,44,0,6.666666666666667,1.2777777777777777,3.8333333333333335
test_86.cpp,263,10,42,195,47,43,0,26.3,4.2,19.5
test_94.cpp,122,10,13,48,16,21,5,12.2,1.3,4.8
test_104.cpp,170,13,42,90,17,17,0,13.076923076923077,3.230769230769231,6.923076923076923
test_149.cpp,177,21,23,54,12,5,0,8.428571428571429,1.0952380952380953,2.5714285714285716
test_11.cpp,404,40,79,176,15,48,0,10.1,1.975,4.4
test_161.cpp,350,20,72,179,37,41,0,17.5,3.6,8.95
test_165.cpp,148,30,34,42,7,2,0,4.933333333333334,1.1333333333333333,1.4
test_87.cpp,165,14,46,119,26,12,0,11.785714285714286,3.2857142857142856,8.5
test_46.cpp,281,40,59,172,40,55,0,7.025,1.475,4.3
test_102.cpp,161,17,28,80,17,20,0,9.470588235294118,1.6470588235294117,4.705882352941177
test_39.cpp,286,36,62,176,46,54,0,7.944444444444445,1.7222222222222223,4.888888888888889
test_106.cpp,264,20,72,171,27,23,0,13.2,3.6,8.55
test_119.cpp,106,12,23,47,12,3,0,8.833333333333334,1.9166666666666667,3.9166666666666665
test_170.cpp,149,16,42,100,16,21,0,9.3125,2.625,6.25
test_33.cpp,312,40,63,197,46,67,0,7.8,1.575,4.925
test_92.cpp,208,19,33,81,30,23,0,10.947368421052632,1.736842105263158,4.2631578947368425
test_32.cpp,265,37,58,137,43,29,0,7.162162162162162,1.5675675675675675,3.7027027027027026
test_151.cpp,254,29,48,83,21,39,0,8.758620689655173,1.6551724137931034,2.8620689655172415
test_56.cpp,215,23,57,122,24,46,0,9.347826086956522,2.4782608695652173,5.304347826086956
test_80.cpp,103,17,25,42,10,5,0,6.0588235294117645,1.4705882352941178,2.4705882352941178
test_118.cpp,392,19,78,204,39,60,0,20.63157894736842,4.105263157894737,10.736842105263158
test_163.cpp,228,13,27,132,26,19,0,17.53846153846154,2.076923076923077,10.153846153846153
test_99.cpp,181,15,28,96,20,17,0,12.066666666666666,1.8666666666666667,6.4
test_34.cpp,256,37,58,153,47,15,13,6.918918918918919,1.5675675675675675,4.135135135135135
test_166.cpp,141,15,17,119,15,21,0,9.4,1.1333333333333333,7.933333333333334
test_110.cpp,228,25,42,112,23,14,0,9.12,1.68,4.48
test_148.cpp,179,20,79,96,15,5,0,8.95,3.95,4.8
test_90.cpp,171,13,19,72,35,16,20,13.153846153846153,1.4615384615384615,5.538461538461538
test_103.cpp,167,14,41,95,15,16,0,11.928571428571429,2.9285714285714284,6.785714285714286
test_37.cpp,305,38,63,168,45,55,0,8.026315789473685,1.6578947368421053,4.421052631578948
test_40.cpp,279,38,72,188,45,47,0,7.342105263157895,1.894736842105263,4.947368421052632
test_49.cpp,233,38,53,152,33,46,0,6.131578947368421,1.394736842105263,4.0
test_29.cpp,107,10,7,46,22,15,8,10.7,0.7,4.6
test_79.cpp,154,14,16,68,16,15,0,11.0,1.1428571428571428,4.857142857142857
