file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_10.cpp,380,49,88,178,28,68,0,7.755102040816326,1.7959183673469388,3.63265306122449
test_113.cpp,136,22,27,83,12,4,0,6.181818181818182,1.2272727272727273,3.772727272727273
test_153.cpp,106,13,14,47,13,5,0,8.153846153846153,1.0769230769230769,3.6153846153846154
test_45.cpp,263,41,53,133,49,14,0,6.414634146341464,1.2926829268292683,3.2439024390243905
test_138.cpp,167,22,25,53,14,2,0,7.590909090909091,1.1363636363636365,2.409090909090909
test_22.cpp,181,27,55,142,12,17,0,6.703703703703703,2.037037037037037,5.2592592592592595
test_133.cpp,153,27,27,39,9,2,0,5.666666666666667,1.0,1.4444444444444444
test_160.cpp,94,9,20,63,20,3,0,10.444444444444445,2.2222222222222223,7.0
test_7.cpp,182,32,53,90,16,43,0,5.6875,1.65625,2.8125
test_169.cpp,148,17,57,137,16,13,0,8.705882352941176,3.3529411764705883,8.058823529411764
test_168.cpp,355,28,52,166,29,36,0,12.678571428571429,1.8571428571428572,5.928571428571429
test_5.cpp,212,32,64,97,18,45,0,6.625,2.0,3.03125
test_154.cpp,174,23,25,65,18,7,0,7.565217391304348,1.0869565217391304,2.8260869565217392
test_13.cpp,157,15,37,62,16,5,0,10.466666666666667,2.466666666666667,4.133333333333334
test_115.cpp,152,34,34,48,8,1,0,4.470588235294118,1.0,1.411764705882353
test_158.cpp,60,8,13,35,19,4,0,7.5,1.625,4.375
test_14.cpp,134,13,29,49,11,4,0,10.307692307692308,2.230769230769231,3.769230769230769
test_81.cpp,82,9,14,54,12,4,0,9.11111111111111,1.5555555555555556,6.0
test_71.cpp,147,14,35,113,14,17,0,10.5,2.5,8.071428571428571
test_20.cpp,160,18,21,94,19,29,0,8.88888888888889,1.1666666666666667,5.222222222222222
test_12.cpp,116,11,26,44,16,5,0,10.545454545454545,2.3636363636363638,4.0
test_136.cpp,217,52,54,110,10,0,0,4.173076923076923,1.0384615384615385,2.1153846153846154
test_126.cpp,156,24,24,101,10,50,0,6.5,1.0,4.208333333333333
test_146.cpp,119,25,25,28,5,1,0,4.76,1.0,1.12
test_156.cpp,33,6,7,14,8,0,0,5.5,1.1666666666666667,2.3333333333333335
test_58.cpp,29,5,8,10,3,6,0,5.8,1.6,2.0
test_85.cpp,339,18,83,186,31,36,0,18.833333333333332,4.611111111111111,10.333333333333334
test_147.cpp,132,17,32,60,14,5,0,7.764705882352941,1.8823529411764706,3.5294117647058822
test_135.cpp,208,37,9,53,14,4,0,5.621621621621622,0.24324324324324326,1.4324324324324325
test_16.cpp,188,20,36,80,18,18,0,9.4,1.8,4.0
test_116.cpp,118,21,30,54,14,1,0,5.619047619047619,1.4285714285714286,2.5714285714285716
test_143.cpp,179,19,33,90,8,2,0,9.421052631578947,1.736842105263158,4.7368421052631575
test_84.cpp,320,18,83,196,24,40,0,17.77777777777778,4.611111111111111,10.88888888888889
test_107.cpp,222,33,42,66,10,1,0,6.7272727272727275,1.2727272727272727,2.0
test_159.cpp,153,11,40,99,23,4,0,13.909090909090908,3.6363636363636362,9.0
test_68.cpp,139,13,25,78,8,3,0,10.692307692307692,1.9230769230769231,6.0
test_69.cpp,115,11,24,95,12,7,0,10.454545454545455,2.1818181818181817,8.636363636363637
test_62.cpp,96,9,23,66,13,2,0,10.666666666666666,2.5555555555555554,7.333333333333333
test_109.cpp,97,15,18,38,14,7,0,6.466666666666667,1.2,2.533333333333333
test_61.cpp,94,9,18,51,10,3,0,10.444444444444445,2.0,5.666666666666667
test_93.cpp,156,16,30,76,20,14,0,9.75,1.875,4.75
test_164.cpp,94,10,10,43,18,6,0,9.4,1.0,4.3
test_130.cpp,87,14,17,48,17,2,0,6.214285714285714,1.2142857142857142,3.4285714285714284
test_54.cpp,59,11,14,26,4,3,0,5.363636363636363,1.2727272727272727,2.3636363636363638
test_51.cpp,240,34,51,147,38,41,0,7.0588235294117645,1.5,4.323529411764706
test_21.cpp,143,26,30,84,19,23,0,5.5,1.1538461538461537,3.230769230769231
test_6.cpp,217,36,63,107,16,46,0,6.027777777777778,1.75,2.9722222222222223
test_30.cpp,292,29,93,236,44,41,16,10.068965517241379,3.206896551724138,8.137931034482758
test_108.cpp,65,7,12,11,4,9,0,9.285714285714286,1.7142857142857142,1.5714285714285714
test_23.cpp,113,15,35,91,14,7,0,7.533333333333333,2.3333333333333335,6.066666666666666
test_44.cpp,167,21,39,107,32,30,0,7.9523809523809526,1.8571428571428572,5.095238095238095
test_152.cpp,162,14,17,53,21,12,0,11.571428571428571,1.2142857142857142,3.7857142857142856
test_114.cpp,52,6,10,25,10,1,0,8.666666666666666,1.6666666666666667,4.166666666666667
test_59.cpp,47,7,10,24,4,4,0,6.714285714285714,1.4285714285714286,3.4285714285714284
test_15.cpp,161,17,36,66,13,17,0,9.470588235294118,2.1176470588235294,3.8823529411764706
test_131.cpp,44,8,8,20,5,2,0,5.5,1.0,2.5
test_82.cpp,82,14,31,32,5,1,0,5.857142857142857,2.2142857142857144,2.2857142857142856
test_111.cpp,137,23,25,89,14,3,0,5.956521739130435,1.0869565217391304,3.869565217391304
test_124.cpp,172,18,67,91,14,4,0,9.555555555555555,3.7222222222222223,5.055555555555555
test_8.cpp,162,23,49,78,13,33,0,7.043478260869565,2.130434782608696,3.391304347826087
test_73.cpp,147,18,23,95,23,33,0,8.166666666666666,1.2777777777777777,5.277777777777778
test_9.cpp,331,44,77,160,28,60,0,7.5227272727272725,1.75,3.6363636363636362
test_60.cpp,163,13,41,103,14,2,0,12.538461538461538,3.1538461538461537,7.923076923076923
test_125.cpp,151,16,24,86,9,4,0,9.4375,1.5,5.375
test_75.cpp,98,16,18,53,20,23,0,6.125,1.125,3.3125
test_55.cpp,60,11,15,29,4,2,0,5.454545454545454,1.3636363636363635,2.6363636363636362
test_70.cpp,114,10,29,87,14,4,0,11.4,2.9,8.7
test_150.cpp,166,16,57,46,14,5,0,10.375,3.5625,2.875
test_19.cpp,156,20,23,75,20,5,0,7.8,1.15,3.75
test_27.cpp,117,15,42,101,13,11,0,7.8,2.8,6.733333333333333
test_26.cpp,127,18,39,101,13,11,0,7.055555555555555,2.1666666666666665,5.611111111111111
test_78.cpp,85,15,16,47,16,17,0,5.666666666666667,1.0666666666666667,3.1333333333333333
test_53.cpp,154,16,45,115,34,27,0,9.625,2.8125,7.1875
test_3.cpp,168,30,47,76,15,40,0,5.6,1.5666666666666667,2.533333333333333
test_132.cpp,84,17,17,41,9,3,0,4.9411764705882355,1.0,2.411764705882353
test_88.cpp,67,9,16,33,8,15,0,7.444444444444445,1.7777777777777777,3.6666666666666665
test_74.cpp,87,15,17,51,15,16,0,5.8,1.1333333333333333,3.4
test_141.cpp,150,21,21,31,11,2,0,7.142857142857143,1.0,1.4761904761904763
test_36.cpp,232,37,44,124,35,42,0,6.27027027027027,1.1891891891891893,3.3513513513513513
test_18.cpp,125,11,18,68,18,23,0,11.363636363636363,1.6363636363636365,6.181818181818182
test_2.cpp,176,28,43,70,14,43,0,6.285714285714286,1.5357142857142858,2.5
test_121.cpp,137,16,23,48,14,11,0,8.5625,1.4375,3.0
test_127.cpp,182,31,17,90,15,44,0,5.870967741935484,0.5483870967741935,2.903225806451613
test_117.cpp,152,22,32,67,15,34,0,6.909090909090909,1.4545454545454546,3.0454545454545454
test_24.cpp,159,21,38,106,17,12,0,7.571428571428571,1.8095238095238095,5.0476190476190474
test_63.cpp,85,14,19,38,4,5,0,6.071428571428571,1.3571428571428572,2.7142857142857144
test_1.cpp,199,34,52,89,18,50,0,5.852941176470588,1.5294117647058822,2.6176470588235294
test_144.cpp,92,13,11,26,11,1,0,7.076923076923077,0.8461538461538461,2.0
test_83.cpp,107,11,25,24,10,15,0,9.727272727272727,2.272727272727273,2.1818181818181817
test_4.cpp,227,29,77,115,20,48,0,7.827586206896552,2.6551724137931036,3.9655172413793105
test_139.cpp,211,23,37,98,18,3,0,9.173913043478262,1.608695652173913,4.260869565217392
test_17.cpp,192,21,38,74,11,23,0,9.142857142857142,1.8095238095238095,3.5238095238095237
test_142.cpp,201,15,42,90,31,5,0,13.4,2.8,6.0
test_145.cpp,107,28,28,59,7,0,0,3.8214285714285716,1.0,2.107142857142857
test_157.cpp,71,7,11,38,18,2,0,10.142857142857142,1.5714285714285714,5.428571428571429
test_140.cpp,200,21,49,94,15,1,0,9.523809523809524,2.3333333333333335,4.476190476190476
test_112.cpp,157,24,7,79,11,4,0,6.541666666666667,0.2916666666666667,3.2916666666666665
test_28.cpp,80,14,21,30,9,3,0,5.714285714285714,1.5,2.142857142857143
test_25.cpp,162,22,47,125,16,13,0,7.363636363636363,2.1363636363636362,5.681818181818182
test_31.cpp,128,16,28,83,29,6,0,8.0,1.75,5.1875
test_137.cpp,124,18,43,97,13,2,0,6.888888888888889,2.388888888888889,5.388888888888889
test_50.cpp,238,40,57,156,35,45,0,5.95,1.425,3.9
test_72.cpp,120,13,20,84,14,6,0,9.23076923076923,1.5384615384615385,6.461538461538462
