index,Category,#Error
,Lexical,0
,Syntactic,7
,Linker,44
,Abstract-Type Instantiation,124
,Access Control,32
,Constexpr/Enum/Assert/Literal,0
,Construction/Initialization,29
,Deleted/Special Member,3
,Functions/Call Resolution,3
,Operator/Call,3
,Override/Inheritance,77
,Incomplete Type,27
,Symbol/Lookup,231
,Templates/Generics,14
,Type Conversion/Reference Binding,181
,Type Redefinition/Redeclaration,4
,Qualifier/Specifier Misuse,0
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,0
