index,Category,%Error
,Lexical,0.00%
,Syntactic,0.90%
,Linker,5.65%
,Abstract-Type Instantiation,15.92%
,Access Control,4.11%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,3.72%
,Deleted/Special Member,0.39%
,Functions/Call Resolution,0.39%
,Operator/Call,0.39%
,Override/Inheritance,9.88%
,Incomplete Type,3.47%
,Symbol/Lookup,29.65%
,Templates/Generics,1.80%
,Type Conversion/Reference Binding,23.23%
,Type Redefinition/Redeclaration,0.51%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.00%
