file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_180.cpp,286,16,99,324,23,46,79,17.875,6.1875,20.25
test_98.cpp,754,99,159,497,74,5,0,7.616161616161616,1.606060606060606,5.02020202020202
test_323.cpp,333,31,57,277,17,37,0,10.741935483870968,1.8387096774193548,8.935483870967742
test_94.cpp,786,88,236,496,57,6,0,8.931818181818182,2.6818181818181817,5.636363636363637
test_291.cpp,549,57,95,492,37,64,0,9.631578947368421,1.6666666666666667,8.631578947368421
test_93.cpp,770,97,239,511,57,6,0,7.938144329896907,2.463917525773196,5.268041237113402
test_106.cpp,752,99,244,522,63,6,0,7.595959595959596,2.4646464646464645,5.2727272727272725
test_151.cpp,95,8,19,57,13,19,0,11.875,2.375,7.125
test_163.cpp,589,102,165,245,34,12,0,5.7745098039215685,1.6176470588235294,2.4019607843137254
test_267.cpp,274,14,77,300,24,24,60,19.571428571428573,5.5,21.428571428571427
test_196.cpp,195,15,27,147,28,7,12,13.0,1.8,9.8
test_208.cpp,217,10,41,130,30,21,12,21.7,4.1,13.0
test_90.cpp,775,87,241,484,56,6,0,8.908045977011493,2.7701149425287355,5.563218390804598
test_78.cpp,742,104,170,505,76,7,0,7.134615384615385,1.6346153846153846,4.855769230769231
test_79.cpp,716,103,163,486,79,9,0,6.951456310679611,1.5825242718446602,4.718446601941747
test_89.cpp,760,97,154,430,55,5,0,7.835051546391752,1.5876288659793814,4.43298969072165
test_292.cpp,603,51,113,501,39,58,0,11.823529411764707,2.215686274509804,9.823529411764707
test_204.cpp,180,13,36,123,30,9,12,13.846153846153847,2.769230769230769,9.461538461538462
test_66.cpp,197,21,56,128,31,9,10,9.380952380952381,2.6666666666666665,6.095238095238095
