index,Category,%Error
,Lexical,2.70%
,Syntactic,9.01%
,Linker,0.00%
,Abstract-Type Instantiation,0.00%
,Access Control,41.44%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,0.00%
,Deleted/Special Member,0.00%
,Functions/Call Resolution,41.44%
,Operator/Call,0.90%
,Override/Inheritance,0.00%
,Incomplete Type,0.00%
,Symbol/Lookup,3.60%
,Templates/Generics,0.00%
,Type Conversion/Reference Binding,0.90%
,Type Redefinition/Redeclaration,0.00%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.00%
