Filename                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
include/yaml-cpp/binary.h                              9                 0   100.00%           3                 0   100.00%           5                 0   100.00%           4                 0   100.00%
include/yaml-cpp/contrib/anchordict.h                  6                 6     0.00%           3                 3     0.00%           8                 8     0.00%           2                 2     0.00%
include/yaml-cpp/contrib/graphbuilder.h                3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
include/yaml-cpp/depthguard.h                          6                 1    83.33%           3                 0   100.00%          10                 2    80.00%           2                 1    50.00%
include/yaml-cpp/emitfromevents.h                      1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/emitter.h                             8                 2    75.00%           8                 2    75.00%          66                48    27.27%           0                 0         -
include/yaml-cpp/emittermanip.h                       13                 0   100.00%           8                 0   100.00%          14                 0   100.00%           0                 0         -
include/yaml-cpp/eventhandler.h                        2                 0   100.00%           2                 0   100.00%           3                 0   100.00%           0                 0         -
include/yaml-cpp/exceptions.h                         31                 7    77.42%          15                 6    60.00%          34                 8    76.47%           4                 0   100.00%
include/yaml-cpp/mark.h                               14                 0   100.00%           4                 0   100.00%           4                 0   100.00%           6                 0   100.00%
include/yaml-cpp/node/convert.h                        8                 8     0.00%           8                 8     0.00%          77                77     0.00%           0                 0         -
include/yaml-cpp/node/detail/memory.h                  5                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
include/yaml-cpp/node/detail/node.h                   35                 1    97.14%          23                 1    95.65%          68                 6    91.18%           8                 0   100.00%
include/yaml-cpp/node/detail/node_data.h               9                 0   100.00%           6                 0   100.00%           8                 0   100.00%           2                 0   100.00%
include/yaml-cpp/node/detail/node_iterator.h          52                 9    82.69%          13                 1    92.31%          64                10    84.38%          34                 8    76.47%
include/yaml-cpp/node/detail/node_ref.h               20                 1    95.00%          19                 1    94.74%          29                 3    89.66%           0                 0         -
include/yaml-cpp/node/impl.h                          32                 7    78.12%          12                 6    50.00%          54                41    24.07%           8                 1    87.50%
include/yaml-cpp/node/node.h                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/noexcept.h                            1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/ostream_wrapper.h                    11                 0   100.00%           8                 0   100.00%          24                 0   100.00%           2                 0   100.00%
include/yaml-cpp/traits.h                              1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
src/binary.cpp                                        34                 1    97.06%           2                 0   100.00%          65                 2    96.92%          28                 3    89.29%
src/collectionstack.h                                 17                 5    70.59%           4                 0   100.00%          14                 0   100.00%           4                 1    75.00%
src/contrib/dragonbox.h                              341               113    66.86%          80                10    87.50%         851               373    56.17%          97                44    54.64%
src/contrib/graphbuilder.cpp                           4                 4     0.00%           1                 1     0.00%           7                 7     0.00%           2                 2     0.00%
src/contrib/graphbuilderadapter.cpp                   24                24     0.00%          10                10     0.00%          66                66     0.00%          10                10     0.00%
src/contrib/graphbuilderadapter.h                     12                12     0.00%           7                 7     0.00%          11                11     0.00%           0                 0         -
src/convert.cpp                                       38                 0   100.00%           8                 0   100.00%          46                 0   100.00%          30                 1    96.67%
src/depthguard.cpp                                     3                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
src/directives.cpp                                    10                 0   100.00%           2                 0   100.00%          10                 0   100.00%           4                 0   100.00%
src/emit.cpp                                           3                 0   100.00%           3                 0   100.00%          16                 0   100.00%           0                 0         -
src/emitfromevents.cpp                                58                11    81.03%          13                 0   100.00%          93                 2    97.85%          34                 4    88.24%
src/emitter.cpp                                      575               184    68.00%          66                 5    92.42%         790               181    77.09%         549               175    68.12%
src/emitterstate.cpp                                 236                34    85.59%          41                 1    97.56%         311                11    96.46%         139                 8    94.24%
src/emitterstate.h                                    68                19    72.06%          26                 0   100.00%          62                 3    95.16%          24                 3    87.50%
src/emitterutils.cpp                                 304                98    67.76%          24                 3    87.50%         414               128    69.08%         258                95    63.18%
src/exp.cpp                                           69                24    65.22%           4                 0   100.00%          90                44    51.11%          78                26    66.67%
