index,Category,#Error
,Lexical,28
,Syntactic,48
,Linker,19
,Abstract-Type Instantiation,19
,Access Control,72
,Constexpr/Enum/Assert/Literal,9
,Construction/Initialization,18
,Deleted/Special Member,0
,Functions/Call Resolution,149
,Operator/Call,23
,Override/Inheritance,2
,Incomplete Type,13
,Symbol/Lookup,852
,Templates/Generics,67
,Type Conversion/Reference Binding,314
,Type Redefinition/Redeclaration,22
,Qualifier/Specifier Misuse,5
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,32
