index,Category,%Error
,Lexical,1.65%
,Syntactic,2.84%
,Linker,1.12%
,Abstract-Type Instantiation,1.12%
,Access Control,4.26%
,Constexpr/Enum/Assert/Literal,0.53%
,Construction/Initialization,1.06%
,Deleted/Special Member,0.00%
,Functions/Call Resolution,8.81%
,Operator/Call,1.36%
,Override/Inheritance,0.12%
,Incomplete Type,0.77%
,Symbol/Lookup,50.35%
,Templates/Generics,3.96%
,Type Conversion/Reference Binding,18.56%
,Type Redefinition/Redeclaration,1.30%
,Qualifier/Specifier Misuse,0.30%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,1.89%
