index,Category,#Error
,Lexical,272
,Syntactic,81
,Linker,277
,Abstract-Type Instantiation,732
,Access Control,269
,Constexpr/Enum/Assert/Literal,12
,Construction/Initialization,341
,Deleted/Special Member,0
,Functions/Call Resolution,54
,Operator/Call,50
,Override/Inheritance,158
,Incomplete Type,2682
,Symbol/Lookup,2296
,Templates/Generics,11
,Type Conversion/Reference Binding,181
,Type Redefinition/Redeclaration,55
,Qualifier/Specifier Misuse,8
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,7
