index,Category,%Error
,Lexical,3.63%
,Syntactic,1.08%
,Linker,3.70%
,Abstract-Type Instantiation,9.78%
,Access Control,3.59%
,Constexpr/Enum/Assert/Literal,0.16%
,Construction/Initialization,4.56%
,Deleted/Special Member,0.00%
,Functions/Call Resolution,0.72%
,Operator/Call,0.67%
,Override/Inheritance,2.11%
,Incomplete Type,35.83%
,Symbol/Lookup,30.67%
,Templates/Generics,0.15%
,Type Conversion/Reference Binding,2.42%
,Type Redefinition/Redeclaration,0.73%
,Qualifier/Specifier Misuse,0.11%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.09%
