index,Category,#Error
,Lexical,802
,Syntactic,179
,Linker,2360
,Abstract-Type Instantiation,359
,Access Control,675
,Constexpr/Enum/Assert/Literal,4
,Construction/Initialization,679
,Deleted/Special Member,1651
,Functions/Call Resolution,1154
,Operator/Call,3
,Override/Inheritance,114
,Incomplete Type,814
,Symbol/Lookup,3905
,Templates/Generics,3
,Type Conversion/Reference Binding,638
,Type Redefinition/Redeclaration,94
,Qualifier/Specifier Misuse,561
,Pointer/Reference Misuse,3
,This/Non-Static Member/Using Misuse,60
